HeLa-S3|chr10:17157400-17157800	HeLa-S3|chr10:17157800-17158067
HeLa-S3|chr1:153485256-153485600	HeLa-S3|chr1:153485600-153485640
HeLa-S3|chr1:153488800-153489400	HeLa-S3|chr1:153489400-153489489
HeLa-S3|chr1:153541800-153542109	HeLa-S3|chr1:153542201-153542380
HeLa-S3|chr1:153544270-153544400	HeLa-S3|chr1:153544400-153544969
HeLa-S3|chr1:153546173-153546200	HeLa-S3|chr1:153546200-153546275
HeLa-S3|chr11:57116966-57117000	HeLa-S3|chr11:57117000-57117356
HeLa-S3|chr1:160960200-160960800	HeLa-S3|chr1:160960800-160960991
HeLa-S3|chr1:160965999-160966400	HeLa-S3|chr1:160966400-160966498
HeLa-S3|chr1:160966400-160966498	HeLa-S3|chr1:160966980-160967076
HeLa-S3|chr11:62192027-62192197	HeLa-S3|chr11:62192548-62192640
HeLa-S3|chr11:62192548-62192640	HeLa-S3|chr11:62192860-62193200
HeLa-S3|chr11:62192860-62193200	HeLa-S3|chr11:62193200-62193227
HeLa-S3|chr11:62556200-62556468	HeLa-S3|chr11:62556618-62556744
HeLa-S3|chr1:162825296-162825548	HeLa-S3|chr1:162825740-162825899
HeLa-S3|chr1:162825740-162825899	HeLa-S3|chr1:162826095-162826364
HeLa-S3|chr11:64070672-64071074	HeLa-S3|chr11:64071174-64071200
HeLa-S3|chr11:69500412-69500630	HeLa-S3|chr11:69500973-69501166
HeLa-S3|chr11:69510435-69510713	HeLa-S3|chr11:69510805-69511127
HeLa-S3|chr11:71932532-71932800	HeLa-S3|chr11:71932800-71933200
HeLa-S3|chr11:72297400-72297640	HeLa-S3|chr11:72297855-72298000
HeLa-S3|chr11:77791800-77791892	HeLa-S3|chr11:77791984-77792122
HeLa-S3|chr1:17817881-17818000	HeLa-S3|chr1:17818000-17818125
HeLa-S3|chr1:17817881-17818000	HeLa-S3|chr1:17818217-17818400
HeLa-S3|chr1:17818000-17818125	HeLa-S3|chr1:17818217-17818400
HeLa-S3|chr1:17818000-17818125	HeLa-S3|chr1:17818400-17818727
HeLa-S3|chr1:17818217-17818400	HeLa-S3|chr1:17818400-17818727
HeLa-S3|chr1:181098762-181098800	HeLa-S3|chr1:181098800-181099425
HeLa-S3|chr1:181120693-181120872	HeLa-S3|chr1:181121081-181121284
HeLa-S3|chr11:86992798-86993000	HeLa-S3|chr11:86993000-86993299
HeLa-S3|chr11:8981000-8981137	HeLa-S3|chr11:8981447-8981539
HeLa-S3|chr11:9775391-9775497	HeLa-S3|chr11:9775589-9775947
HeLa-S3|chr11:9796055-9796600	HeLa-S3|chr11:9796600-9797000
HeLa-S3|chr11:9796600-9797000	HeLa-S3|chr11:9797000-9797585
HeLa-S3|chr1:207256133-207256406	HeLa-S3|chr1:207256669-207257039
HeLa-S3|chr1:207259055-207259197	HeLa-S3|chr1:207259295-207259764
HeLa-S3|chr1:207276969-207277400	HeLa-S3|chr1:207277400-207277600
HeLa-S3|chr1:207276969-207277400	HeLa-S3|chr1:207277600-207277922
HeLa-S3|chr1:207277400-207277600	HeLa-S3|chr1:207277600-207277922
HeLa-S3|chr12:111028956-111029117	HeLa-S3|chr12:111029317-111029687
HeLa-S3|chr12:113643924-113644000	HeLa-S3|chr12:113644000-113644591
HeLa-S3|chr1:211805681-211805906	HeLa-S3|chr1:211806147-211806200
HeLa-S3|chr12:13196580-13196600	HeLa-S3|chr12:13196600-13197000
HeLa-S3|chr12:132347917-132348224	HeLa-S3|chr12:132348363-132348505
HeLa-S3|chr12:20143516-20143612	HeLa-S3|chr12:20143790-20143800
HeLa-S3|chr12:20143516-20143612	HeLa-S3|chr12:20143800-20143882
HeLa-S3|chr12:20143790-20143800	HeLa-S3|chr12:20143800-20143882
HeLa-S3|chr1:225662400-225662628	HeLa-S3|chr1:225663020-225663200
HeLa-S3|chr1:225954179-225954339	HeLa-S3|chr1:225954486-225954600
HeLa-S3|chr12:33054217-33054317	HeLa-S3|chr12:33054409-33054822
HeLa-S3|chr1:234739504-234739600	HeLa-S3|chr1:234739600-234740000
HeLa-S3|chr1:234857429-234858000	HeLa-S3|chr1:234858000-234858200
HeLa-S3|chr1:235002990-235003000	HeLa-S3|chr1:235003000-235003327
HeLa-S3|chr12:40173659-40173876	HeLa-S3|chr12:40174160-40174400
HeLa-S3|chr12:47050544-47050637	HeLa-S3|chr12:47050948-47051065
HeLa-S3|chr12:47050948-47051065	HeLa-S3|chr12:47051269-47051512
HeLa-S3|chr12:47051269-47051512	HeLa-S3|chr12:47051606-47052079
HeLa-S3|chr12:47054150-47054200	HeLa-S3|chr12:47054200-47054359
HeLa-S3|chr12:48839848-48840200	HeLa-S3|chr12:48840200-48840496
HeLa-S3|chr12:50237600-50238000	HeLa-S3|chr12:50238000-50238008
HeLa-S3|chr12:50238000-50238008	HeLa-S3|chr12:50238278-50238385
HeLa-S3|chr12:50451600-50451808	HeLa-S3|chr12:50452004-50452302
HeLa-S3|chr12:53474400-53474549	HeLa-S3|chr12:53474750-53474868
HeLa-S3|chr12:54147988-54148600	HeLa-S3|chr12:54148600-54149000
HeLa-S3|chr1:26219715-26220061	HeLa-S3|chr1:26220280-26220377
HeLa-S3|chr1:26222266-26222400	HeLa-S3|chr1:26222400-26222865
HeLa-S3|chr12:64476539-64476600	HeLa-S3|chr12:64476600-64477200
HeLa-S3|chr12:64476600-64477200	HeLa-S3|chr12:64477200-64477318
HeLa-S3|chr12:64481661-64481800	HeLa-S3|chr12:64481800-64482400
HeLa-S3|chr12:64646562-64646704	HeLa-S3|chr12:64646796-64646940
HeLa-S3|chr12:683944-684000	HeLa-S3|chr12:684000-684036
HeLa-S3|chr12:8140863-8141059	HeLa-S3|chr12:8141185-8141670
HeLa-S3|chr12:8145938-8146200	HeLa-S3|chr12:8146200-8146441
HeLa-S3|chr12:85268112-85268204	HeLa-S3|chr12:85268659-85268756
HeLa-S3|chr12:85268659-85268756	HeLa-S3|chr12:85269050-85269302
HeLa-S3|chr1:28677439-28677600	HeLa-S3|chr1:28677600-28678000
HeLa-S3|chr12:89379334-89379580	HeLa-S3|chr12:89379691-89380078
HeLa-S3|chr12:95512321-95512453	HeLa-S3|chr12:95512666-95512891
HeLa-S3|chr13:109613829-109613921	HeLa-S3|chr13:109614184-109614400
HeLa-S3|chr13:109613829-109613921	HeLa-S3|chr13:109614400-109614451
HeLa-S3|chr13:109614184-109614400	HeLa-S3|chr13:109614400-109614451
HeLa-S3|chr1:3370074-3370200	HeLa-S3|chr1:3370200-3370400
HeLa-S3|chr13:45011800-45012000	HeLa-S3|chr13:45012000-45012259
HeLa-S3|chr13:45012000-45012259	HeLa-S3|chr13:45012522-45012614
HeLa-S3|chr13:50421818-50422214	HeLa-S3|chr13:50422437-50422600
HeLa-S3|chr13:80099228-80099570	HeLa-S3|chr13:80099687-80099939
HeLa-S3|chr14:102427805-102427909	HeLa-S3|chr14:102428301-102428400
HeLa-S3|chr14:24766390-24766400	HeLa-S3|chr14:24766400-24766800
HeLa-S3|chr14:24766390-24766400	HeLa-S3|chr14:24766800-24766877
HeLa-S3|chr14:24766400-24766800	HeLa-S3|chr14:24766800-24766877
HeLa-S3|chr14:50786136-50786280	HeLa-S3|chr14:50786510-50786600
HeLa-S3|chr14:50787455-50787750	HeLa-S3|chr14:50787869-50788000
HeLa-S3|chr1:45276600-45276649	HeLa-S3|chr1:45277084-45277186
HeLa-S3|chr1:45277084-45277186	HeLa-S3|chr1:45277284-45277755
HeLa-S3|chr14:55149400-55149800	HeLa-S3|chr14:55149899-55149996
HeLa-S3|chr14:55149899-55149996	HeLa-S3|chr14:55150241-55150400
HeLa-S3|chr14:61949223-61949600	HeLa-S3|chr14:61949600-61950059
HeLa-S3|chr14:68168327-68168510	HeLa-S3|chr14:68168610-68168707
HeLa-S3|chr14:68171560-68171804	HeLa-S3|chr14:68172040-68172209
HeLa-S3|chr14:69022000-69022200	HeLa-S3|chr14:69022200-69022356
HeLa-S3|chr14:69041625-69042033	HeLa-S3|chr14:69042194-69042473
HeLa-S3|chr14:76110037-76110200	HeLa-S3|chr14:76110200-76110303
HeLa-S3|chr14:76110037-76110200	HeLa-S3|chr14:76110402-76110659
HeLa-S3|chr14:76110200-76110303	HeLa-S3|chr14:76110402-76110659
HeLa-S3|chr15:40337608-40338000	HeLa-S3|chr15:40338000-40338188
HeLa-S3|chr15:45909136-45909400	HeLa-S3|chr15:45909400-45909551
HeLa-S3|chr15:45923468-45923595	HeLa-S3|chr15:45923600-45924000
HeLa-S3|chr15:45923600-45924000	HeLa-S3|chr15:45924200-45924265
HeLa-S3|chr15:45925975-45926000	HeLa-S3|chr15:45926000-45926400
HeLa-S3|chr15:49154400-49154600	HeLa-S3|chr15:49154600-49155161
HeLa-S3|chr15:49163456-49164000	HeLa-S3|chr15:49164000-49164113
HeLa-S3|chr15:49428200-49428675	HeLa-S3|chr15:49428794-49428800
HeLa-S3|chr15:49527136-49527264	HeLa-S3|chr15:49527632-49527800
HeLa-S3|chr15:49527632-49527800	HeLa-S3|chr15:49527800-49527824
HeLa-S3|chr15:49527800-49527824	HeLa-S3|chr15:49528116-49528439
HeLa-S3|chr15:49548037-49548400	HeLa-S3|chr15:49548400-49548918
HeLa-S3|chr15:74651742-74651800	HeLa-S3|chr15:74651800-74652260
HeLa-S3|chr15:74651800-74652260	HeLa-S3|chr15:74652368-74652800
HeLa-S3|chr15:74653400-74653477	HeLa-S3|chr15:74653777-74654013
HeLa-S3|chr15:74677425-74677625	HeLa-S3|chr15:74677817-74678089
HeLa-S3|chr15:75933800-75933814	HeLa-S3|chr15:75933911-75934254
HeLa-S3|chr16:22210061-22210318	HeLa-S3|chr16:22210422-22210600
HeLa-S3|chr16:22215969-22216400	HeLa-S3|chr16:22216400-22216445
HeLa-S3|chr16:22215969-22216400	HeLa-S3|chr16:22216558-22216800
HeLa-S3|chr16:22216400-22216445	HeLa-S3|chr16:22216558-22216800
HeLa-S3|chr16:30633093-30633200	HeLa-S3|chr16:30633200-30633702
HeLa-S3|chr1:65713257-65713600	HeLa-S3|chr1:65713600-65714000
HeLa-S3|chr1:65713600-65714000	HeLa-S3|chr1:65714000-65714154
HeLa-S3|chr16:57624129-57624200	HeLa-S3|chr16:57624200-57624600
HeLa-S3|chr16:67707200-67707266	HeLa-S3|chr16:67707358-67707475
HeLa-S3|chr16:75020400-75020800	HeLa-S3|chr16:75020800-75020805
HeLa-S3|chr16:84769400-84770000	HeLa-S3|chr16:84770000-84770189
HeLa-S3|chr17:30342600-30342746	HeLa-S3|chr17:30342914-30343382
HeLa-S3|chr17:37773390-37773400	HeLa-S3|chr17:37773400-37773600
HeLa-S3|chr17:40772283-40772475	HeLa-S3|chr17:40772745-40772868
HeLa-S3|chr17:41471125-41471200	HeLa-S3|chr17:41471200-41471337
HeLa-S3|chr17:41471429-41472000	HeLa-S3|chr17:41472000-41472011
HeLa-S3|chr17:46024600-46024890	HeLa-S3|chr17:46024982-46025000
HeLa-S3|chr17:46204700-46205051	HeLa-S3|chr17:46205187-46205400
HeLa-S3|chr17:47393146-47393278	HeLa-S3|chr17:47393511-47393600
HeLa-S3|chr17:47393146-47393278	HeLa-S3|chr17:47393600-47393678
HeLa-S3|chr17:47393511-47393600	HeLa-S3|chr17:47393600-47393678
HeLa-S3|chr17:55953102-55953400	HeLa-S3|chr17:55953400-55953470
HeLa-S3|chr17:55967403-55967600	HeLa-S3|chr17:55967600-55968000
HeLa-S3|chr17:55967403-55967600	HeLa-S3|chr17:55968000-55968042
HeLa-S3|chr17:55967600-55968000	HeLa-S3|chr17:55968000-55968042
HeLa-S3|chr17:55977155-55977200	HeLa-S3|chr17:55977200-55977600
HeLa-S3|chr17:55977155-55977200	HeLa-S3|chr17:55977600-55977656
HeLa-S3|chr17:55977200-55977600	HeLa-S3|chr17:55977600-55977656
HeLa-S3|chr17:65368487-65368600	HeLa-S3|chr17:65368600-65368807
HeLa-S3|chr17:66383507-66383874	HeLa-S3|chr17:66384111-66384200
HeLa-S3|chr17:66384111-66384200	HeLa-S3|chr17:66384200-66384777
HeLa-S3|chr17:66385309-66385400	HeLa-S3|chr17:66385400-66385410
HeLa-S3|chr17:66393247-66393400	HeLa-S3|chr17:66393400-66393594
HeLa-S3|chr17:6810579-6811000	HeLa-S3|chr17:6811000-6811052
HeLa-S3|chr17:6810579-6811000	HeLa-S3|chr17:6811163-6811268
HeLa-S3|chr17:6811000-6811052	HeLa-S3|chr17:6811163-6811268
HeLa-S3|chr17:6817000-6817182	HeLa-S3|chr17:6817504-6817671
HeLa-S3|chr17:70698382-70698600	HeLa-S3|chr17:70698600-70698997
HeLa-S3|chr17:70702143-70702200	HeLa-S3|chr17:70702200-70702308
HeLa-S3|chr17:70702506-70703000	HeLa-S3|chr17:70703000-70703016
HeLa-S3|chr17:7266616-7266800	HeLa-S3|chr17:7266800-7267319
HeLa-S3|chr17:7976800-7977012	HeLa-S3|chr17:7977316-7977568
HeLa-S3|chr17:80298277-80298800	HeLa-S3|chr17:80298800-80299100
HeLa-S3|chr17:8076095-8076187	HeLa-S3|chr17:8076200-8076600
HeLa-S3|chr18:12396290-12396425	HeLa-S3|chr18:12396728-12396920
HeLa-S3|chr18:12748785-12748935	HeLa-S3|chr18:12749027-12749200
HeLa-S3|chr18:23987744-23987800	HeLa-S3|chr18:23987800-23988400
HeLa-S3|chr18:3036982-3037000	HeLa-S3|chr18:3037000-3037220
HeLa-S3|chr1:85411616-85411800	HeLa-S3|chr1:85411800-85411882
HeLa-S3|chr1:85600412-85600504	HeLa-S3|chr1:85600609-85600822
HeLa-S3|chr1:85600609-85600822	HeLa-S3|chr1:85600914-85601300
HeLa-S3|chr1:85762882-85763000	HeLa-S3|chr1:85763000-85763200
HeLa-S3|chr1:85790974-85791000	HeLa-S3|chr1:85791000-85791092
HeLa-S3|chr18:67953550-67954000	HeLa-S3|chr18:67954000-67954598
HeLa-S3|chr19:1284343-1284435	HeLa-S3|chr19:1284834-1284943
HeLa-S3|chr19:16177190-16177200	HeLa-S3|chr19:16177200-16177600
HeLa-S3|chr19:17377550-17377807	HeLa-S3|chr19:17377899-17378000
HeLa-S3|chr19:2598815-2599063	HeLa-S3|chr19:2599193-2599400
HeLa-S3|chr19:2602380-2602400	HeLa-S3|chr19:2602400-2602524
HeLa-S3|chr19:2602380-2602400	HeLa-S3|chr19:2602707-2602800
HeLa-S3|chr19:2602400-2602524	HeLa-S3|chr19:2602707-2602800
HeLa-S3|chr20:19765301-19765416	HeLa-S3|chr20:19765516-19765608
HeLa-S3|chr20:30150200-30150563	HeLa-S3|chr20:30150755-30151000
HeLa-S3|chr20:31268779-31269200	HeLa-S3|chr20:31269200-31269833
HeLa-S3|chr20:34458145-34458200	HeLa-S3|chr20:34458200-34458267
HeLa-S3|chr20:34461400-34461706	HeLa-S3|chr20:34461871-34462253
HeLa-S3|chr20:34461871-34462253	HeLa-S3|chr20:34462345-34462800
HeLa-S3|chr20:34466167-34466453	HeLa-S3|chr20:34466553-34466977
HeLa-S3|chr20:34469063-34469163	HeLa-S3|chr20:34469383-34469475
HeLa-S3|chr20:34469383-34469475	HeLa-S3|chr20:34469645-34469963
HeLa-S3|chr20:34473200-34473290	HeLa-S3|chr20:34473538-34473600
HeLa-S3|chr20:34475796-34475900	HeLa-S3|chr20:34476067-34476200
HeLa-S3|chr20:34475796-34475900	HeLa-S3|chr20:34476200-34476259
HeLa-S3|chr20:34476067-34476200	HeLa-S3|chr20:34476200-34476259
HeLa-S3|chr20:43950492-43950753	HeLa-S3|chr20:43950846-43950945
HeLa-S3|chr20:49076729-49077000	HeLa-S3|chr20:49077000-49077509
HeLa-S3|chr20:49077000-49077509	HeLa-S3|chr20:49077644-49078000
HeLa-S3|chr20:49077644-49078000	HeLa-S3|chr20:49078000-49078018
HeLa-S3|chr2:172452102-172452259	HeLa-S3|chr2:172452423-172452579
HeLa-S3|chr2:182607520-182607617	HeLa-S3|chr2:182607843-182608000
HeLa-S3|chr2:182607843-182608000	HeLa-S3|chr2:182608000-182608400
HeLa-S3|chr2:182608000-182608400	HeLa-S3|chr2:182608492-182608731
HeLa-S3|chr2:182616565-182616690	HeLa-S3|chr2:182616792-182616800
HeLa-S3|chr2:182616792-182616800	HeLa-S3|chr2:182616800-182617400
HeLa-S3|chr2:182616800-182617400	HeLa-S3|chr2:182617400-182617453
HeLa-S3|chr2:208898770-208898800	HeLa-S3|chr2:208898800-208898889
HeLa-S3|chr2:219153690-219153800	HeLa-S3|chr2:219153800-219153908
HeLa-S3|chr2:219696972-219697140	HeLa-S3|chr2:219697232-219697432
HeLa-S3|chr22:32347800-32348200	HeLa-S3|chr22:32348200-32348402
HeLa-S3|chr22:40903686-40903910	HeLa-S3|chr22:40904005-40904506
HeLa-S3|chr2:241172623-241172739	HeLa-S3|chr2:241173132-241173267
HeLa-S3|chr2:241173132-241173267	HeLa-S3|chr2:241173385-241173507
HeLa-S3|chr2:24631640-24631940	HeLa-S3|chr2:24632098-24632190
HeLa-S3|chr2:27959200-27959600	HeLa-S3|chr2:27959600-27959660
HeLa-S3|chr2:27977356-27977800	HeLa-S3|chr2:27977800-27977973
HeLa-S3|chr2:28840314-28840659	HeLa-S3|chr2:28840822-28840914
HeLa-S3|chr2:28847714-28848000	HeLa-S3|chr2:28848000-28848122
HeLa-S3|chr2:28848000-28848122	HeLa-S3|chr2:28848314-28848652
HeLa-S3|chr2:43357163-43357200	HeLa-S3|chr2:43357200-43357800
HeLa-S3|chr2:43359000-43359600	HeLa-S3|chr2:43359600-43359666
HeLa-S3|chr2:69547363-69547852	HeLa-S3|chr2:69548006-69548098
HeLa-S3|chr2:70144600-70144670	HeLa-S3|chr2:70144762-70145030
HeLa-S3|chr2:70144762-70145030	HeLa-S3|chr2:70145122-70145497
HeLa-S3|chr2:70371000-70371026	HeLa-S3|chr2:70371131-70371200
HeLa-S3|chr2:85641800-85642400	HeLa-S3|chr2:85642400-85642466
HeLa-S3|chr2:85649200-85649368	HeLa-S3|chr2:85649548-85650013
HeLa-S3|chr3:111436240-111436359	HeLa-S3|chr3:111436685-111436837
HeLa-S3|chr3:128904400-128904589	HeLa-S3|chr3:128904767-128904956
HeLa-S3|chr3:128904767-128904956	HeLa-S3|chr3:128905234-128905375
HeLa-S3|chr3:142572046-142572567	HeLa-S3|chr3:142572659-142572963
HeLa-S3|chr3:142715382-142715400	HeLa-S3|chr3:142715400-142715636
HeLa-S3|chr3:142715382-142715400	HeLa-S3|chr3:142715963-142716000
HeLa-S3|chr3:142715400-142715636	HeLa-S3|chr3:142715963-142716000
HeLa-S3|chr3:152756600-152756800	HeLa-S3|chr3:152756800-152757006
HeLa-S3|chr3:152760509-152760600	HeLa-S3|chr3:152760600-152760891
HeLa-S3|chr3:156799833-156800000	HeLa-S3|chr3:156800000-156800079
HeLa-S3|chr3:171656561-171656600	HeLa-S3|chr3:171656600-171656745
HeLa-S3|chr3:179039400-179039439	HeLa-S3|chr3:179039702-179039800
HeLa-S3|chr3:183951787-183951800	HeLa-S3|chr3:183951800-183952046
HeLa-S3|chr3:183951800-183952046	HeLa-S3|chr3:183952400-183952427
HeLa-S3|chr3:192536649-192536800	HeLa-S3|chr3:192536800-192536851
HeLa-S3|chr3:192536649-192536800	HeLa-S3|chr3:192537003-192537095
HeLa-S3|chr3:192536649-192536800	HeLa-S3|chr3:192537205-192537400
HeLa-S3|chr3:192536800-192536851	HeLa-S3|chr3:192537003-192537095
HeLa-S3|chr3:192536800-192536851	HeLa-S3|chr3:192537205-192537400
HeLa-S3|chr3:192537003-192537095	HeLa-S3|chr3:192537205-192537400
HeLa-S3|chr3:194402943-194403000	HeLa-S3|chr3:194403000-194403291
HeLa-S3|chr3:194411797-194412022	HeLa-S3|chr3:194412159-194412200
HeLa-S3|chr3:33401724-33402200	HeLa-S3|chr3:33402200-33402321
HeLa-S3|chr3:50648179-50648200	HeLa-S3|chr3:50648400-50648800
HeLa-S3|chr3:58311064-58311200	HeLa-S3|chr3:58311200-58311228
HeLa-S3|chr4:40996309-40996600	HeLa-S3|chr4:40996600-40996883
HeLa-S3|chr4:40996600-40996883	HeLa-S3|chr4:40996975-40997000
HeLa-S3|chr4:40996600-40996883	HeLa-S3|chr4:40997000-40997241
HeLa-S3|chr4:40996975-40997000	HeLa-S3|chr4:40997000-40997241
HeLa-S3|chr5:115174600-115174743	HeLa-S3|chr5:115175030-115175200
HeLa-S3|chr5:130722400-130722816	HeLa-S3|chr5:130722908-130723368
HeLa-S3|chr5:130722908-130723368	HeLa-S3|chr5:130723546-130723600
HeLa-S3|chr5:134539600-134539807	HeLa-S3|chr5:134539975-134540080
HeLa-S3|chr5:172359038-172359200	HeLa-S3|chr5:172359200-172359412
HeLa-S3|chr5:36691000-36691127	HeLa-S3|chr5:36691440-36691587
HeLa-S3|chr5:36693144-36693250	HeLa-S3|chr5:36693601-36693768
HeLa-S3|chr5:38648926-38649129	HeLa-S3|chr5:38649227-38649328
HeLa-S3|chr5:38673639-38673731	HeLa-S3|chr5:38673986-38674160
HeLa-S3|chr5:39580970-39581120	HeLa-S3|chr5:39581402-39581529
HeLa-S3|chr5:39599326-39599400	HeLa-S3|chr5:39599400-39600032
HeLa-S3|chr5:54170253-54170400	HeLa-S3|chr5:54170400-54170763
HeLa-S3|chr5:55496488-55496631	HeLa-S3|chr5:55496768-55496978
HeLa-S3|chr5:6709241-6709374	HeLa-S3|chr5:6709749-6709990
HeLa-S3|chr5:6710251-6710800	HeLa-S3|chr5:6710800-6711200
HeLa-S3|chr5:90422288-90422635	HeLa-S3|chr5:90422907-90423000
HeLa-S3|chr5:93839600-93839681	HeLa-S3|chr5:93840000-93840167
HeLa-S3|chr5:93841461-93841600	HeLa-S3|chr5:93841600-93842000
HeLa-S3|chr5:93841461-93841600	HeLa-S3|chr5:93842000-93842160
HeLa-S3|chr5:93841600-93842000	HeLa-S3|chr5:93842000-93842160
HeLa-S3|chr5:93842919-93843000	HeLa-S3|chr5:93843000-93843299
HeLa-S3|chr5:93843000-93843299	HeLa-S3|chr5:93843391-93843776
HeLa-S3|chr5:95656200-95656290	HeLa-S3|chr5:95656528-95656763
HeLa-S3|chr5:95656528-95656763	HeLa-S3|chr5:95656873-95657120
HeLa-S3|chr6:109706400-109706600	HeLa-S3|chr6:109706600-109706734
HeLa-S3|chr6:111021120-111021600	HeLa-S3|chr6:111021600-111022200
HeLa-S3|chr6:111021600-111022200	HeLa-S3|chr6:111022200-111022488
HeLa-S3|chr6:112042234-112042454	HeLa-S3|chr6:112042546-112042916
HeLa-S3|chr6:112044980-112045187	HeLa-S3|chr6:112045383-112045638
HeLa-S3|chr6:166519310-166519600	HeLa-S3|chr6:166519600-166519617
HeLa-S3|chr6:166519310-166519600	HeLa-S3|chr6:166519926-166520071
HeLa-S3|chr6:166519600-166519617	HeLa-S3|chr6:166519926-166520071
HeLa-S3|chr6:3055788-3055800	HeLa-S3|chr6:3055800-3056000
HeLa-S3|chr6:3055788-3055800	HeLa-S3|chr6:3056000-3056400
HeLa-S3|chr6:3055800-3056000	HeLa-S3|chr6:3056000-3056400
HeLa-S3|chr6:3061121-3061200	HeLa-S3|chr6:3061600-3061800
HeLa-S3|chr6:3061600-3061800	HeLa-S3|chr6:3061860-3062267
HeLa-S3|chr6:30778537-30778600	HeLa-S3|chr6:30778600-30779168
HeLa-S3|chr6:43765607-43765800	HeLa-S3|chr6:43765800-43766200
HeLa-S3|chr6:43767400-43767600	HeLa-S3|chr6:43767600-43768183
HeLa-S3|chr6:43771807-43772325	HeLa-S3|chr6:43772417-43772517
HeLa-S3|chr6:52280877-52280974	HeLa-S3|chr6:52281259-52281351
HeLa-S3|chr6:52283521-52283755	HeLa-S3|chr6:52283985-52284000
HeLa-S3|chr6:52288771-52288800	HeLa-S3|chr6:52288800-52289249
HeLa-S3|chr6:52854865-52855000	HeLa-S3|chr6:52855000-52855400
HeLa-S3|chr6:52855000-52855400	HeLa-S3|chr6:52855400-52855727
HeLa-S3|chr6:52861400-52861495	HeLa-S3|chr6:52861763-52861962
HeLa-S3|chr6:7262200-7262600	HeLa-S3|chr6:7262600-7262696
HeLa-S3|chr6:7267673-7267800	HeLa-S3|chr6:7267800-7267857
HeLa-S3|chr6:7267673-7267800	HeLa-S3|chr6:7267959-7268371
HeLa-S3|chr6:7267800-7267857	HeLa-S3|chr6:7267959-7268371
HeLa-S3|chr6:82643800-82644025	HeLa-S3|chr6:82644238-82644344
HeLa-S3|chr7:107519662-107519867	HeLa-S3|chr7:107520164-107520419
HeLa-S3|chr7:116444650-116444834	HeLa-S3|chr7:116445089-116445200
HeLa-S3|chr7:134290404-134290533	HeLa-S3|chr7:134290725-134291149
