NHEK|chr10:121200600-121200800	NHEK|chr10:121201000-121201600
NHEK|chr11:10436600-10437200	NHEK|chr11:10437400-10437600
NHEK|chr11:111847000-111847200	NHEK|chr11:111849600-111849800
NHEK|chr11:111853000-111854400	NHEK|chr11:111854400-111854600
NHEK|chr11:113399400-113399800	NHEK|chr11:113399800-113400400
NHEK|chr11:113399400-113399800	NHEK|chr11:113400400-113400600
NHEK|chr11:113399800-113400400	NHEK|chr11:113400400-113400600
NHEK|chr11:113417400-113418600	NHEK|chr11:113418800-113419200
NHEK|chr11:113417400-113418600	NHEK|chr11:113419600-113420400
NHEK|chr11:113417400-113418600	NHEK|chr11:113420400-113421000
NHEK|chr11:113417400-113418600	NHEK|chr11:113421000-113421200
NHEK|chr11:113418800-113419200	NHEK|chr11:113419600-113420400
NHEK|chr11:113418800-113419200	NHEK|chr11:113420400-113421000
NHEK|chr11:113418800-113419200	NHEK|chr11:113421000-113421200
NHEK|chr11:113419600-113420400	NHEK|chr11:113420400-113421000
NHEK|chr11:113419600-113420400	NHEK|chr11:113421000-113421200
NHEK|chr11:113420400-113421000	NHEK|chr11:113421000-113421200
NHEK|chr11:113420400-113421000	NHEK|chr11:113423800-113424000
NHEK|chr11:113420400-113421000	NHEK|chr11:113424000-113425000
NHEK|chr11:113421000-113421200	NHEK|chr11:113423800-113424000
NHEK|chr11:113421000-113421200	NHEK|chr11:113424000-113425000
NHEK|chr11:113423800-113424000	NHEK|chr11:113424000-113425000
NHEK|chr11:113423800-113424000	NHEK|chr11:113425600-113425800
NHEK|chr11:113424000-113425000	NHEK|chr11:113425600-113425800
NHEK|chr11:124633200-124633400	NHEK|chr11:124633400-124633600
NHEK|chr11:13156600-13157400	NHEK|chr11:13157800-13159000
NHEK|chr11:13156600-13157400	NHEK|chr11:13159200-13159400
NHEK|chr11:13156600-13157400	NHEK|chr11:13159400-13159600
NHEK|chr11:13157800-13159000	NHEK|chr11:13159200-13159400
NHEK|chr11:13157800-13159000	NHEK|chr11:13159400-13159600
NHEK|chr11:13157800-13159000	NHEK|chr11:13161800-13162800
NHEK|chr11:13159200-13159400	NHEK|chr11:13159400-13159600
NHEK|chr11:13159200-13159400	NHEK|chr11:13161800-13162800
NHEK|chr11:13159400-13159600	NHEK|chr11:13161800-13162800
NHEK|chr11:35412600-35412800	NHEK|chr11:35412800-35413400
NHEK|chr11:35412600-35412800	NHEK|chr11:35413400-35414200
NHEK|chr11:35412800-35413400	NHEK|chr11:35413400-35414200
NHEK|chr11:36473800-36475200	NHEK|chr11:36475200-36475600
NHEK|chr11:36473800-36475200	NHEK|chr11:36475600-36476400
NHEK|chr11:36473800-36475200	NHEK|chr11:36476600-36478200
NHEK|chr11:36475200-36475600	NHEK|chr11:36475600-36476400
NHEK|chr11:36475200-36475600	NHEK|chr11:36476600-36478200
NHEK|chr11:36475600-36476400	NHEK|chr11:36476600-36478200
NHEK|chr11:36488600-36489600	NHEK|chr11:36491400-36491600
NHEK|chr11:36488600-36489600	NHEK|chr11:36492400-36492600
NHEK|chr11:36491400-36491600	NHEK|chr11:36492400-36492600
NHEK|chr11:4079200-4080400	NHEK|chr11:4080400-4080800
NHEK|chr11:47164400-47164600	NHEK|chr11:47164600-47165400
NHEK|chr11:47174400-47175400	NHEK|chr11:47177800-47178600
NHEK|chr1:153777600-153778200	NHEK|chr1:153778200-153778600
NHEK|chr1:159988400-159988600	NHEK|chr1:159988600-159989600
NHEK|chr1:161450400-161450600	NHEK|chr1:161450600-161450800
NHEK|chr1:161450400-161450600	NHEK|chr1:161450800-161451400
NHEK|chr1:161450400-161450600	NHEK|chr1:161452000-161452200
NHEK|chr1:161450600-161450800	NHEK|chr1:161450800-161451400
NHEK|chr1:161450600-161450800	NHEK|chr1:161452000-161452200
NHEK|chr1:161450800-161451400	NHEK|chr1:161452000-161452200
NHEK|chr1:161457000-161457200	NHEK|chr1:161457400-161457600
NHEK|chr1:162825200-162825400	NHEK|chr1:162825400-162826000
NHEK|chr1:162825200-162825400	NHEK|chr1:162826000-162826200
NHEK|chr1:162825200-162825400	NHEK|chr1:162826400-162826600
NHEK|chr1:162825200-162825400	NHEK|chr1:162827000-162827800
NHEK|chr1:162825400-162826000	NHEK|chr1:162826000-162826200
NHEK|chr1:162825400-162826000	NHEK|chr1:162826400-162826600
NHEK|chr1:162825400-162826000	NHEK|chr1:162827000-162827800
NHEK|chr1:162826000-162826200	NHEK|chr1:162826400-162826600
NHEK|chr1:162826000-162826200	NHEK|chr1:162827000-162827800
NHEK|chr1:162826400-162826600	NHEK|chr1:162827000-162827800
NHEK|chr1:163042400-163042600	NHEK|chr1:163042600-163043000
NHEK|chr1:16498200-16498600	NHEK|chr1:16499000-16499400
NHEK|chr1:16498200-16498600	NHEK|chr1:16500200-16501600
NHEK|chr1:16498200-16498600	NHEK|chr1:16502000-16502200
NHEK|chr1:16499000-16499400	NHEK|chr1:16500200-16501600
NHEK|chr1:16499000-16499400	NHEK|chr1:16502000-16502200
NHEK|chr1:16500200-16501600	NHEK|chr1:16502000-16502200
NHEK|chr1:16500200-16501600	NHEK|chr1:16503200-16503400
NHEK|chr1:16500200-16501600	NHEK|chr1:16503800-16504600
NHEK|chr1:16502000-16502200	NHEK|chr1:16503200-16503400
NHEK|chr1:16502000-16502200	NHEK|chr1:16503800-16504600
NHEK|chr1:16502000-16502200	NHEK|chr1:16505400-16505800
NHEK|chr1:16503200-16503400	NHEK|chr1:16503800-16504600
NHEK|chr1:16503200-16503400	NHEK|chr1:16505400-16505800
NHEK|chr1:16503800-16504600	NHEK|chr1:16505400-16505800
NHEK|chr1:16503800-16504600	NHEK|chr1:16507000-16507400
NHEK|chr1:16505400-16505800	NHEK|chr1:16507000-16507400
NHEK|chr1:16505400-16505800	NHEK|chr1:16508000-16508200
NHEK|chr1:16505400-16505800	NHEK|chr1:16509200-16509400
NHEK|chr1:16507000-16507400	NHEK|chr1:16508000-16508200
NHEK|chr1:16507000-16507400	NHEK|chr1:16509200-16509400
NHEK|chr1:16507000-16507400	NHEK|chr1:16509800-16510000
NHEK|chr1:16507000-16507400	NHEK|chr1:16510000-16510400
NHEK|chr1:16507000-16507400	NHEK|chr1:16510400-16510600
NHEK|chr1:16507000-16507400	NHEK|chr1:16510600-16511600
NHEK|chr1:16508000-16508200	NHEK|chr1:16509200-16509400
NHEK|chr1:16508000-16508200	NHEK|chr1:16509800-16510000
NHEK|chr1:16508000-16508200	NHEK|chr1:16510000-16510400
NHEK|chr1:16508000-16508200	NHEK|chr1:16510400-16510600
NHEK|chr1:16508000-16508200	NHEK|chr1:16510600-16511600
NHEK|chr1:16509200-16509400	NHEK|chr1:16509800-16510000
NHEK|chr1:16509200-16509400	NHEK|chr1:16510000-16510400
NHEK|chr1:16509200-16509400	NHEK|chr1:16510400-16510600
NHEK|chr1:16509200-16509400	NHEK|chr1:16510600-16511600
NHEK|chr1:16509800-16510000	NHEK|chr1:16510000-16510400
NHEK|chr1:16509800-16510000	NHEK|chr1:16510400-16510600
NHEK|chr1:16509800-16510000	NHEK|chr1:16510600-16511600
NHEK|chr1:16509800-16510000	NHEK|chr1:16513200-16513400
NHEK|chr1:16510000-16510400	NHEK|chr1:16510400-16510600
NHEK|chr1:16510000-16510400	NHEK|chr1:16510600-16511600
NHEK|chr1:16510000-16510400	NHEK|chr1:16513200-16513400
NHEK|chr1:16510400-16510600	NHEK|chr1:16510600-16511600
NHEK|chr1:16510400-16510600	NHEK|chr1:16513200-16513400
NHEK|chr1:16510600-16511600	NHEK|chr1:16513200-16513400
NHEK|chr1:16510600-16511600	NHEK|chr1:16514000-16515400
NHEK|chr1:16513200-16513400	NHEK|chr1:16514000-16515400
NHEK|chr1:16513200-16513400	NHEK|chr1:16515800-16516000
NHEK|chr1:16514000-16515400	NHEK|chr1:16515800-16516000
NHEK|chr1:16514000-16515400	NHEK|chr1:16516200-16518400
NHEK|chr1:16514000-16515400	NHEK|chr1:16518400-16519000
NHEK|chr11:65149000-65149200	NHEK|chr11:65151200-65151400
NHEK|chr11:65149000-65149200	NHEK|chr11:65151400-65151800
NHEK|chr11:65151200-65151400	NHEK|chr11:65151400-65151800
NHEK|chr1:16515800-16516000	NHEK|chr1:16516200-16518400
NHEK|chr1:16515800-16516000	NHEK|chr1:16518400-16519000
NHEK|chr1:16516200-16518400	NHEK|chr1:16518400-16519000
NHEK|chr11:65582200-65582600	NHEK|chr11:65582600-65582800
NHEK|chr11:65582200-65582600	NHEK|chr11:65584400-65585000
NHEK|chr11:65582600-65582800	NHEK|chr11:65584400-65585000
NHEK|chr11:65670200-65670400	NHEK|chr11:65671200-65671400
NHEK|chr11:65671200-65671400	NHEK|chr11:65674400-65674800
NHEK|chr11:65674400-65674800	NHEK|chr11:65677600-65678200
NHEK|chr1:171967800-171968400	NHEK|chr1:171968400-171969000
NHEK|chr1:171967800-171968400	NHEK|chr1:171969000-171969200
NHEK|chr1:171967800-171968400	NHEK|chr1:171969200-171969400
NHEK|chr1:171968400-171969000	NHEK|chr1:171969000-171969200
NHEK|chr1:171968400-171969000	NHEK|chr1:171969200-171969400
NHEK|chr1:171969000-171969200	NHEK|chr1:171969200-171969400
NHEK|chr1:171973400-171973600	NHEK|chr1:171974800-171975000
NHEK|chr1:171973400-171973600	NHEK|chr1:171975000-171975200
NHEK|chr1:171973400-171973600	NHEK|chr1:171975200-171975600
NHEK|chr1:171973400-171973600	NHEK|chr1:171975600-171975800
NHEK|chr1:171974800-171975000	NHEK|chr1:171975000-171975200
NHEK|chr1:171974800-171975000	NHEK|chr1:171975200-171975600
NHEK|chr1:171974800-171975000	NHEK|chr1:171975600-171975800
NHEK|chr1:171975000-171975200	NHEK|chr1:171975200-171975600
NHEK|chr1:171975000-171975200	NHEK|chr1:171975600-171975800
NHEK|chr1:171975200-171975600	NHEK|chr1:171975600-171975800
NHEK|chr1:172714400-172714600	NHEK|chr1:172714800-172715200
NHEK|chr1:172714400-172714600	NHEK|chr1:172715200-172715600
NHEK|chr1:172714400-172714600	NHEK|chr1:172715600-172716000
NHEK|chr1:172714400-172714600	NHEK|chr1:172716000-172716400
NHEK|chr1:172714800-172715200	NHEK|chr1:172715200-172715600
NHEK|chr1:172714800-172715200	NHEK|chr1:172715600-172716000
NHEK|chr1:172714800-172715200	NHEK|chr1:172716000-172716400
NHEK|chr1:172715200-172715600	NHEK|chr1:172715600-172716000
NHEK|chr1:172715200-172715600	NHEK|chr1:172716000-172716400
NHEK|chr1:172715600-172716000	NHEK|chr1:172716000-172716400
NHEK|chr11:72887400-72887600	NHEK|chr11:72887600-72888200
NHEK|chr11:72887400-72887600	NHEK|chr11:72888200-72889200
NHEK|chr11:72887400-72887600	NHEK|chr11:72889200-72889400
NHEK|chr11:72887600-72888200	NHEK|chr11:72888200-72889200
NHEK|chr11:72887600-72888200	NHEK|chr11:72889200-72889400
NHEK|chr11:72888200-72889200	NHEK|chr11:72889200-72889400
NHEK|chr11:72896000-72896600	NHEK|chr11:72897600-72898000
NHEK|chr11:72896000-72896600	NHEK|chr11:72898200-72898400
NHEK|chr11:72896000-72896600	NHEK|chr11:72898800-72899200
NHEK|chr11:72896000-72896600	NHEK|chr11:72899600-72899800
NHEK|chr11:72897600-72898000	NHEK|chr11:72898200-72898400
NHEK|chr11:72897600-72898000	NHEK|chr11:72898800-72899200
NHEK|chr11:72897600-72898000	NHEK|chr11:72899600-72899800
NHEK|chr11:72898200-72898400	NHEK|chr11:72898800-72899200
NHEK|chr11:72898200-72898400	NHEK|chr11:72899600-72899800
NHEK|chr11:72898800-72899200	NHEK|chr11:72899600-72899800
NHEK|chr11:72899600-72899800	NHEK|chr11:72902800-72903200
NHEK|chr1:17729200-17729400	NHEK|chr1:17729400-17730000
NHEK|chr1:17729200-17729400	NHEK|chr1:17730000-17730200
NHEK|chr1:17729400-17730000	NHEK|chr1:17730000-17730200
NHEK|chr1:178498400-178498600	NHEK|chr1:178498600-178499600
NHEK|chr1:178498400-178498600	NHEK|chr1:178499800-178500000
NHEK|chr1:178498400-178498600	NHEK|chr1:178501000-178502000
NHEK|chr1:178498600-178499600	NHEK|chr1:178499800-178500000
NHEK|chr1:178498600-178499600	NHEK|chr1:178501000-178502000
NHEK|chr1:178499800-178500000	NHEK|chr1:178501000-178502000
NHEK|chr1:178505800-178506000	NHEK|chr1:178506000-178506400
NHEK|chr1:178505800-178506000	NHEK|chr1:178506600-178507000
NHEK|chr1:178505800-178506000	NHEK|chr1:178507400-178508400
NHEK|chr1:178505800-178506000	NHEK|chr1:178508400-178508600
NHEK|chr1:178505800-178506000	NHEK|chr1:178509400-178509600
NHEK|chr1:178506000-178506400	NHEK|chr1:178506600-178507000
NHEK|chr1:178506000-178506400	NHEK|chr1:178507400-178508400
NHEK|chr1:178506000-178506400	NHEK|chr1:178508400-178508600
NHEK|chr1:178506000-178506400	NHEK|chr1:178509400-178509600
NHEK|chr1:178506000-178506400	NHEK|chr1:178509600-178509800
NHEK|chr1:178506000-178506400	NHEK|chr1:178509800-178510200
NHEK|chr1:178506600-178507000	NHEK|chr1:178507400-178508400
NHEK|chr1:178506600-178507000	NHEK|chr1:178508400-178508600
NHEK|chr1:178506600-178507000	NHEK|chr1:178509400-178509600
NHEK|chr1:178506600-178507000	NHEK|chr1:178509600-178509800
NHEK|chr1:178506600-178507000	NHEK|chr1:178509800-178510200
NHEK|chr1:178506600-178507000	NHEK|chr1:178510200-178510800
NHEK|chr1:178507400-178508400	NHEK|chr1:178508400-178508600
NHEK|chr1:178507400-178508400	NHEK|chr1:178509400-178509600
NHEK|chr1:178507400-178508400	NHEK|chr1:178509600-178509800
NHEK|chr1:178507400-178508400	NHEK|chr1:178509800-178510200
NHEK|chr1:178507400-178508400	NHEK|chr1:178510200-178510800
NHEK|chr1:178507400-178508400	NHEK|chr1:178510800-178511000
NHEK|chr1:178508400-178508600	NHEK|chr1:178509400-178509600
NHEK|chr1:178508400-178508600	NHEK|chr1:178509600-178509800
NHEK|chr1:178508400-178508600	NHEK|chr1:178509800-178510200
NHEK|chr1:178508400-178508600	NHEK|chr1:178510200-178510800
NHEK|chr1:178508400-178508600	NHEK|chr1:178510800-178511000
NHEK|chr1:178509400-178509600	NHEK|chr1:178509600-178509800
NHEK|chr1:178509400-178509600	NHEK|chr1:178509800-178510200
NHEK|chr1:178509400-178509600	NHEK|chr1:178510200-178510800
NHEK|chr1:178509400-178509600	NHEK|chr1:178510800-178511000
NHEK|chr1:178509400-178509600	NHEK|chr1:178512800-178513000
NHEK|chr1:178509400-178509600	NHEK|chr1:178513000-178513400
NHEK|chr1:178509600-178509800	NHEK|chr1:178509800-178510200
NHEK|chr1:178509600-178509800	NHEK|chr1:178510200-178510800
NHEK|chr1:178509600-178509800	NHEK|chr1:178510800-178511000
NHEK|chr1:178509600-178509800	NHEK|chr1:178512800-178513000
NHEK|chr1:178509600-178509800	NHEK|chr1:178513000-178513400
NHEK|chr1:178509800-178510200	NHEK|chr1:178510200-178510800
NHEK|chr1:178509800-178510200	NHEK|chr1:178510800-178511000
NHEK|chr1:178509800-178510200	NHEK|chr1:178512800-178513000
NHEK|chr1:178509800-178510200	NHEK|chr1:178513000-178513400
NHEK|chr1:178510200-178510800	NHEK|chr1:178510800-178511000
NHEK|chr1:178510200-178510800	NHEK|chr1:178512800-178513000
NHEK|chr1:178510200-178510800	NHEK|chr1:178513000-178513400
NHEK|chr1:178510800-178511000	NHEK|chr1:178512800-178513000
NHEK|chr1:178510800-178511000	NHEK|chr1:178513000-178513400
NHEK|chr1:178510800-178511000	NHEK|chr1:178514200-178514600
NHEK|chr1:178512800-178513000	NHEK|chr1:178513000-178513400
NHEK|chr1:178512800-178513000	NHEK|chr1:178514200-178514600
NHEK|chr1:178513000-178513400	NHEK|chr1:178514200-178514600
NHEK|chr1:181127600-181128000	NHEK|chr1:181128200-181128600
NHEK|chr1:181127600-181128000	NHEK|chr1:181128600-181128800
NHEK|chr1:181127600-181128000	NHEK|chr1:181128800-181129600
NHEK|chr1:181127600-181128000	NHEK|chr1:181129800-181130200
NHEK|chr1:181128200-181128600	NHEK|chr1:181128600-181128800
NHEK|chr1:181128200-181128600	NHEK|chr1:181128800-181129600
NHEK|chr1:181128200-181128600	NHEK|chr1:181129800-181130200
NHEK|chr1:181128600-181128800	NHEK|chr1:181128800-181129600
NHEK|chr1:181128600-181128800	NHEK|chr1:181129800-181130200
NHEK|chr1:181128800-181129600	NHEK|chr1:181129800-181130200
NHEK|chr1:183884600-183884800	NHEK|chr1:183884800-183885400
NHEK|chr1:183884600-183884800	NHEK|chr1:183885400-183885600
NHEK|chr1:183884600-183884800	NHEK|chr1:183885600-183885800
NHEK|chr1:183884800-183885400	NHEK|chr1:183885400-183885600
NHEK|chr1:183884800-183885400	NHEK|chr1:183885600-183885800
NHEK|chr1:183885400-183885600	NHEK|chr1:183885600-183885800
NHEK|chr1:183901200-183901400	NHEK|chr1:183901400-183902000
NHEK|chr1:184524200-184524400	NHEK|chr1:184524400-184524800
NHEK|chr1:184524200-184524400	NHEK|chr1:184524800-184525800
NHEK|chr1:184524200-184524400	NHEK|chr1:184526200-184527200
NHEK|chr1:184524200-184524400	NHEK|chr1:184527600-184527800
NHEK|chr1:184524200-184524400	NHEK|chr1:184527800-184528000
NHEK|chr1:184524400-184524800	NHEK|chr1:184524800-184525800
NHEK|chr1:184524400-184524800	NHEK|chr1:184526200-184527200
NHEK|chr1:184524400-184524800	NHEK|chr1:184527600-184527800
NHEK|chr1:184524400-184524800	NHEK|chr1:184527800-184528000
NHEK|chr1:184524800-184525800	NHEK|chr1:184526200-184527200
NHEK|chr1:184524800-184525800	NHEK|chr1:184527600-184527800
NHEK|chr1:184524800-184525800	NHEK|chr1:184527800-184528000
NHEK|chr1:184526200-184527200	NHEK|chr1:184527600-184527800
NHEK|chr1:184526200-184527200	NHEK|chr1:184527800-184528000
NHEK|chr1:184527600-184527800	NHEK|chr1:184527800-184528000
NHEK|chr1:184527800-184528000	NHEK|chr1:184531200-184531800
NHEK|chr11:93638600-93639000	NHEK|chr11:93641400-93641600
NHEK|chr11:93638600-93639000	NHEK|chr11:93641800-93642400
NHEK|chr11:93641400-93641600	NHEK|chr11:93641800-93642400
NHEK|chr1:204407000-204407200	NHEK|chr1:204407200-204408400
NHEK|chr1:204419600-204420200	NHEK|chr1:204420200-204420400
NHEK|chr1:208305200-208305400	NHEK|chr1:208305400-208306200
NHEK|chr1:21022600-21022800	NHEK|chr1:21024000-21025400
NHEK|chr12:111022600-111023600	NHEK|chr12:111023600-111023800
NHEK|chr12:111022600-111023600	NHEK|chr12:111023800-111024000
NHEK|chr12:111023600-111023800	NHEK|chr12:111023800-111024000
NHEK|chr1:211871800-211872400	NHEK|chr1:211874800-211875600
NHEK|chr12:123131200-123131400	NHEK|chr12:123131600-123131800
NHEK|chr12:22678000-22678200	NHEK|chr12:22678200-22678600
NHEK|chr12:22678000-22678200	NHEK|chr12:22678800-22679000
NHEK|chr12:22678000-22678200	NHEK|chr12:22680600-22681600
NHEK|chr12:22678200-22678600	NHEK|chr12:22678800-22679000
NHEK|chr12:22678200-22678600	NHEK|chr12:22680600-22681600
NHEK|chr12:22678800-22679000	NHEK|chr12:22680600-22681600
NHEK|chr1:225647000-225647200	NHEK|chr1:225647200-225648200
NHEK|chr1:225647000-225647200	NHEK|chr1:225648200-225648800
NHEK|chr1:225647000-225647200	NHEK|chr1:225649000-225649600
NHEK|chr1:225647000-225647200	NHEK|chr1:225650600-225650800
NHEK|chr1:225647200-225648200	NHEK|chr1:225648200-225648800
NHEK|chr1:225647200-225648200	NHEK|chr1:225649000-225649600
NHEK|chr1:225647200-225648200	NHEK|chr1:225650600-225650800
NHEK|chr1:225647200-225648200	NHEK|chr1:225651000-225651400
NHEK|chr1:225648200-225648800	NHEK|chr1:225649000-225649600
NHEK|chr1:225648200-225648800	NHEK|chr1:225650600-225650800
NHEK|chr1:225648200-225648800	NHEK|chr1:225651000-225651400
NHEK|chr1:225649000-225649600	NHEK|chr1:225650600-225650800
NHEK|chr1:225649000-225649600	NHEK|chr1:225651000-225651400
NHEK|chr1:225649000-225649600	NHEK|chr1:225652600-225653400
NHEK|chr1:225650600-225650800	NHEK|chr1:225651000-225651400
NHEK|chr1:225650600-225650800	NHEK|chr1:225652600-225653400
NHEK|chr1:225651000-225651400	NHEK|chr1:225652600-225653400
NHEK|chr1:225652600-225653400	NHEK|chr1:225655000-225655600
NHEK|chr1:225662400-225662800	NHEK|chr1:225662800-225663200
NHEK|chr1:225842400-225842600	NHEK|chr1:225842600-225844000
NHEK|chr1:225842400-225842600	NHEK|chr1:225845000-225845200
NHEK|chr1:225842400-225842600	NHEK|chr1:225845200-225846000
NHEK|chr1:225842600-225844000	NHEK|chr1:225845000-225845200
NHEK|chr1:225842600-225844000	NHEK|chr1:225845200-225846000
NHEK|chr1:225845000-225845200	NHEK|chr1:225845200-225846000
NHEK|chr1:225954000-225954200	NHEK|chr1:225954200-225954400
NHEK|chr1:225954000-225954200	NHEK|chr1:225954400-225955400
NHEK|chr1:225954000-225954200	NHEK|chr1:225955400-225956000
NHEK|chr1:225954000-225954200	NHEK|chr1:225956400-225956800
NHEK|chr1:225954200-225954400	NHEK|chr1:225954400-225955400
NHEK|chr1:225954200-225954400	NHEK|chr1:225955400-225956000
NHEK|chr1:225954200-225954400	NHEK|chr1:225956400-225956800
NHEK|chr1:225954400-225955400	NHEK|chr1:225955400-225956000
NHEK|chr1:225954400-225955400	NHEK|chr1:225956400-225956800
NHEK|chr1:225955400-225956000	NHEK|chr1:225956400-225956800
NHEK|chr1:225956400-225956800	NHEK|chr1:225959800-225960200
NHEK|chr1:225959800-225960200	NHEK|chr1:225960200-225960800
NHEK|chr1:225959800-225960200	NHEK|chr1:225960800-225961000
NHEK|chr1:225959800-225960200	NHEK|chr1:225961000-225961200
NHEK|chr1:225960200-225960800	NHEK|chr1:225960800-225961000
NHEK|chr1:225960200-225960800	NHEK|chr1:225961000-225961200
NHEK|chr1:225960800-225961000	NHEK|chr1:225961000-225961200
NHEK|chr1:225960800-225961000	NHEK|chr1:225964400-225964600
NHEK|chr1:225961000-225961200	NHEK|chr1:225964400-225964600
NHEK|chr1:227616400-227616600	NHEK|chr1:227619200-227619400
NHEK|chr1:227616400-227616600	NHEK|chr1:227619400-227619800
NHEK|chr1:227619200-227619400	NHEK|chr1:227619400-227619800
NHEK|chr12:33071800-33072200	NHEK|chr12:33072200-33073200
NHEK|chr12:33071800-33072200	NHEK|chr12:33073400-33073600
