HeLa-S3|chr10:102973390-103542659	HeLa-S3|chr10:102974454-103542659
HeLa-S3|chr10:73488574-73533105	HeLa-S3|chr10:73489401-73533105
HeLa-S3|chr10:73488574-73533105	HeLa-S3|chr10:73489522-73533105
HeLa-S3|chr10:73489401-73533105	HeLa-S3|chr10:73489522-73533105
HeLa-S3|chr10:74115052-74803799	HeLa-S3|chr10:74115052-74808080
HeLa-S3|chr10:88731766-88841968	HeLa-S3|chr10:88731766-88841999
HeLa-S3|chr10:88731766-88841968	HeLa-S3|chr10:88731766-88843799
HeLa-S3|chr10:88731766-88841968	HeLa-S3|chr10:88731766-88844156
HeLa-S3|chr10:88731766-88841968	HeLa-S3|chr10:88731766-88844679
HeLa-S3|chr10:88731766-88841999	HeLa-S3|chr10:88731766-88843799
HeLa-S3|chr10:88731766-88841999	HeLa-S3|chr10:88731766-88844156
HeLa-S3|chr10:88731766-88841999	HeLa-S3|chr10:88731766-88844679
HeLa-S3|chr10:88731766-88843799	HeLa-S3|chr10:88731766-88844156
HeLa-S3|chr10:88731766-88843799	HeLa-S3|chr10:88731766-88844679
HeLa-S3|chr10:88731766-88844156	HeLa-S3|chr10:88731766-88844679
HeLa-S3|chr10:93150160-93392576	HeLa-S3|chr10:93150462-93392576
HeLa-S3|chr1:109820302-109940339	HeLa-S3|chr1:109820535-109940339
HeLa-S3|chr1:109820302-109940339	HeLa-S3|chr1:109826382-109939599
HeLa-S3|chr1:109820302-109940339	HeLa-S3|chr1:109827032-109940339
HeLa-S3|chr1:109820535-109940339	HeLa-S3|chr1:109826382-109939599
HeLa-S3|chr1:109820535-109940339	HeLa-S3|chr1:109827032-109940339
HeLa-S3|chr1:109826382-109939599	HeLa-S3|chr1:109827032-109940339
HeLa-S3|chr11:100558859-100701812	HeLa-S3|chr11:100558859-100702198
HeLa-S3|chr11:100558859-100701812	HeLa-S3|chr11:100558859-100702825
HeLa-S3|chr11:100558859-100701812	HeLa-S3|chr11:100558859-100712399
HeLa-S3|chr11:100558859-100701812	HeLa-S3|chr11:100558859-100712799
HeLa-S3|chr11:100558859-100701812	HeLa-S3|chr11:100558859-100719776
HeLa-S3|chr11:100558859-100701812	HeLa-S3|chr11:100558859-100719969
HeLa-S3|chr11:100558859-100701812	HeLa-S3|chr11:100558859-100721983
HeLa-S3|chr11:100558859-100702198	HeLa-S3|chr11:100558859-100702825
HeLa-S3|chr11:100558859-100702198	HeLa-S3|chr11:100558859-100712399
HeLa-S3|chr11:100558859-100702198	HeLa-S3|chr11:100558859-100712799
HeLa-S3|chr11:100558859-100702198	HeLa-S3|chr11:100558859-100719776
HeLa-S3|chr11:100558859-100702198	HeLa-S3|chr11:100558859-100719969
HeLa-S3|chr11:100558859-100702198	HeLa-S3|chr11:100558859-100721983
HeLa-S3|chr11:100558859-100702825	HeLa-S3|chr11:100558859-100712399
HeLa-S3|chr11:100558859-100702825	HeLa-S3|chr11:100558859-100712799
HeLa-S3|chr11:100558859-100702825	HeLa-S3|chr11:100558859-100719776
HeLa-S3|chr11:100558859-100702825	HeLa-S3|chr11:100558859-100719969
HeLa-S3|chr11:100558859-100702825	HeLa-S3|chr11:100558859-100721983
HeLa-S3|chr11:100558859-100712399	HeLa-S3|chr11:100558859-100712799
HeLa-S3|chr11:100558859-100712399	HeLa-S3|chr11:100558859-100719776
HeLa-S3|chr11:100558859-100712399	HeLa-S3|chr11:100558859-100719969
HeLa-S3|chr11:100558859-100712399	HeLa-S3|chr11:100558859-100721983
HeLa-S3|chr11:100558859-100712799	HeLa-S3|chr11:100558859-100719776
HeLa-S3|chr11:100558859-100712799	HeLa-S3|chr11:100558859-100719969
HeLa-S3|chr11:100558859-100712799	HeLa-S3|chr11:100558859-100721983
HeLa-S3|chr11:100558859-100719776	HeLa-S3|chr11:100558859-100719969
HeLa-S3|chr11:100558859-100719776	HeLa-S3|chr11:100558859-100721983
HeLa-S3|chr11:100558859-100719969	HeLa-S3|chr11:100558859-100721983
HeLa-S3|chr1:110178333-110527107	HeLa-S3|chr1:110178601-110527107
HeLa-S3|chr1:110178333-110527107	HeLa-S3|chr1:110179001-110527107
HeLa-S3|chr1:110178333-110527107	HeLa-S3|chr1:110179951-110527107
HeLa-S3|chr1:110178333-110527107	HeLa-S3|chr1:110186017-110527107
HeLa-S3|chr1:110178333-110527107	HeLa-S3|chr1:110186601-110527107
HeLa-S3|chr1:110178333-110527107	HeLa-S3|chr1:110186660-110527107
HeLa-S3|chr1:110178333-110527107	HeLa-S3|chr1:110187747-110527107
HeLa-S3|chr1:110178333-110527107	HeLa-S3|chr1:110193662-110527107
HeLa-S3|chr1:110178333-110527107	HeLa-S3|chr1:110194379-110527107
HeLa-S3|chr1:110178333-110527107	HeLa-S3|chr1:110195567-110527107
HeLa-S3|chr1:110178333-110527107	HeLa-S3|chr1:110196421-110527107
HeLa-S3|chr1:110178333-110527107	HeLa-S3|chr1:110198722-110526403
HeLa-S3|chr1:110178333-110527107	HeLa-S3|chr1:110198722-110526599
HeLa-S3|chr1:110178333-110527107	HeLa-S3|chr1:110198722-110544028
HeLa-S3|chr1:110178333-110527107	HeLa-S3|chr1:110198722-110544199
HeLa-S3|chr1:110178333-110527107	HeLa-S3|chr1:110198722-110544877
HeLa-S3|chr1:110178333-110527107	HeLa-S3|chr1:110198722-110544999
HeLa-S3|chr1:110178333-110527107	HeLa-S3|chr1:110198722-110545246
HeLa-S3|chr1:110178333-110527107	HeLa-S3|chr1:110198722-110545951
HeLa-S3|chr1:110178333-110527107	HeLa-S3|chr1:110198722-110547599
HeLa-S3|chr1:110178333-110527107	HeLa-S3|chr1:110199109-110527107
HeLa-S3|chr1:110178601-110527107	HeLa-S3|chr1:110179001-110527107
HeLa-S3|chr1:110178601-110527107	HeLa-S3|chr1:110179951-110527107
HeLa-S3|chr1:110178601-110527107	HeLa-S3|chr1:110186017-110527107
HeLa-S3|chr1:110178601-110527107	HeLa-S3|chr1:110186601-110527107
HeLa-S3|chr1:110178601-110527107	HeLa-S3|chr1:110186660-110527107
HeLa-S3|chr1:110178601-110527107	HeLa-S3|chr1:110187747-110527107
HeLa-S3|chr1:110178601-110527107	HeLa-S3|chr1:110193662-110527107
HeLa-S3|chr1:110178601-110527107	HeLa-S3|chr1:110194379-110527107
HeLa-S3|chr1:110178601-110527107	HeLa-S3|chr1:110195567-110527107
HeLa-S3|chr1:110178601-110527107	HeLa-S3|chr1:110196421-110527107
HeLa-S3|chr1:110178601-110527107	HeLa-S3|chr1:110198722-110526403
HeLa-S3|chr1:110178601-110527107	HeLa-S3|chr1:110198722-110526599
HeLa-S3|chr1:110178601-110527107	HeLa-S3|chr1:110198722-110544028
HeLa-S3|chr1:110178601-110527107	HeLa-S3|chr1:110198722-110544199
HeLa-S3|chr1:110178601-110527107	HeLa-S3|chr1:110198722-110544877
HeLa-S3|chr1:110178601-110527107	HeLa-S3|chr1:110198722-110544999
HeLa-S3|chr1:110178601-110527107	HeLa-S3|chr1:110198722-110545246
HeLa-S3|chr1:110178601-110527107	HeLa-S3|chr1:110198722-110545951
HeLa-S3|chr1:110178601-110527107	HeLa-S3|chr1:110198722-110547599
HeLa-S3|chr1:110178601-110527107	HeLa-S3|chr1:110199109-110527107
HeLa-S3|chr1:110179001-110527107	HeLa-S3|chr1:110179951-110527107
HeLa-S3|chr1:110179001-110527107	HeLa-S3|chr1:110186017-110527107
HeLa-S3|chr1:110179001-110527107	HeLa-S3|chr1:110186601-110527107
HeLa-S3|chr1:110179001-110527107	HeLa-S3|chr1:110186660-110527107
HeLa-S3|chr1:110179001-110527107	HeLa-S3|chr1:110187747-110527107
HeLa-S3|chr1:110179001-110527107	HeLa-S3|chr1:110193662-110527107
HeLa-S3|chr1:110179001-110527107	HeLa-S3|chr1:110194379-110527107
HeLa-S3|chr1:110179001-110527107	HeLa-S3|chr1:110195567-110527107
HeLa-S3|chr1:110179001-110527107	HeLa-S3|chr1:110196421-110527107
HeLa-S3|chr1:110179001-110527107	HeLa-S3|chr1:110198722-110526403
HeLa-S3|chr1:110179001-110527107	HeLa-S3|chr1:110198722-110526599
HeLa-S3|chr1:110179001-110527107	HeLa-S3|chr1:110198722-110544028
HeLa-S3|chr1:110179001-110527107	HeLa-S3|chr1:110198722-110544199
HeLa-S3|chr1:110179001-110527107	HeLa-S3|chr1:110198722-110544877
HeLa-S3|chr1:110179001-110527107	HeLa-S3|chr1:110198722-110544999
HeLa-S3|chr1:110179001-110527107	HeLa-S3|chr1:110198722-110545246
HeLa-S3|chr1:110179001-110527107	HeLa-S3|chr1:110198722-110545951
HeLa-S3|chr1:110179001-110527107	HeLa-S3|chr1:110198722-110547599
HeLa-S3|chr1:110179001-110527107	HeLa-S3|chr1:110199109-110527107
HeLa-S3|chr1:110179951-110527107	HeLa-S3|chr1:110186017-110527107
HeLa-S3|chr1:110179951-110527107	HeLa-S3|chr1:110186601-110527107
HeLa-S3|chr1:110179951-110527107	HeLa-S3|chr1:110186660-110527107
HeLa-S3|chr1:110179951-110527107	HeLa-S3|chr1:110187747-110527107
HeLa-S3|chr1:110179951-110527107	HeLa-S3|chr1:110193662-110527107
HeLa-S3|chr1:110179951-110527107	HeLa-S3|chr1:110194379-110527107
HeLa-S3|chr1:110179951-110527107	HeLa-S3|chr1:110195567-110527107
HeLa-S3|chr1:110179951-110527107	HeLa-S3|chr1:110196421-110527107
HeLa-S3|chr1:110179951-110527107	HeLa-S3|chr1:110198722-110526403
HeLa-S3|chr1:110179951-110527107	HeLa-S3|chr1:110198722-110526599
HeLa-S3|chr1:110179951-110527107	HeLa-S3|chr1:110198722-110544028
HeLa-S3|chr1:110179951-110527107	HeLa-S3|chr1:110198722-110544199
HeLa-S3|chr1:110179951-110527107	HeLa-S3|chr1:110198722-110544877
HeLa-S3|chr1:110179951-110527107	HeLa-S3|chr1:110198722-110544999
HeLa-S3|chr1:110179951-110527107	HeLa-S3|chr1:110198722-110545246
HeLa-S3|chr1:110179951-110527107	HeLa-S3|chr1:110198722-110545951
HeLa-S3|chr1:110179951-110527107	HeLa-S3|chr1:110198722-110547599
HeLa-S3|chr1:110179951-110527107	HeLa-S3|chr1:110199109-110527107
HeLa-S3|chr1:110186017-110527107	HeLa-S3|chr1:110186601-110527107
HeLa-S3|chr1:110186017-110527107	HeLa-S3|chr1:110186660-110527107
HeLa-S3|chr1:110186017-110527107	HeLa-S3|chr1:110187747-110527107
HeLa-S3|chr1:110186017-110527107	HeLa-S3|chr1:110193662-110527107
HeLa-S3|chr1:110186017-110527107	HeLa-S3|chr1:110194379-110527107
HeLa-S3|chr1:110186017-110527107	HeLa-S3|chr1:110195567-110527107
HeLa-S3|chr1:110186017-110527107	HeLa-S3|chr1:110196421-110527107
HeLa-S3|chr1:110186017-110527107	HeLa-S3|chr1:110198722-110526403
HeLa-S3|chr1:110186017-110527107	HeLa-S3|chr1:110198722-110526599
HeLa-S3|chr1:110186017-110527107	HeLa-S3|chr1:110198722-110544028
HeLa-S3|chr1:110186017-110527107	HeLa-S3|chr1:110198722-110544199
HeLa-S3|chr1:110186017-110527107	HeLa-S3|chr1:110198722-110544877
HeLa-S3|chr1:110186017-110527107	HeLa-S3|chr1:110198722-110544999
HeLa-S3|chr1:110186017-110527107	HeLa-S3|chr1:110198722-110545246
HeLa-S3|chr1:110186017-110527107	HeLa-S3|chr1:110198722-110545951
HeLa-S3|chr1:110186017-110527107	HeLa-S3|chr1:110198722-110547599
HeLa-S3|chr1:110186017-110527107	HeLa-S3|chr1:110199109-110527107
HeLa-S3|chr1:110186601-110527107	HeLa-S3|chr1:110186660-110527107
HeLa-S3|chr1:110186601-110527107	HeLa-S3|chr1:110187747-110527107
HeLa-S3|chr1:110186601-110527107	HeLa-S3|chr1:110193662-110527107
HeLa-S3|chr1:110186601-110527107	HeLa-S3|chr1:110194379-110527107
HeLa-S3|chr1:110186601-110527107	HeLa-S3|chr1:110195567-110527107
HeLa-S3|chr1:110186601-110527107	HeLa-S3|chr1:110196421-110527107
HeLa-S3|chr1:110186601-110527107	HeLa-S3|chr1:110198722-110526403
HeLa-S3|chr1:110186601-110527107	HeLa-S3|chr1:110198722-110526599
HeLa-S3|chr1:110186601-110527107	HeLa-S3|chr1:110198722-110544028
HeLa-S3|chr1:110186601-110527107	HeLa-S3|chr1:110198722-110544199
HeLa-S3|chr1:110186601-110527107	HeLa-S3|chr1:110198722-110544877
HeLa-S3|chr1:110186601-110527107	HeLa-S3|chr1:110198722-110544999
HeLa-S3|chr1:110186601-110527107	HeLa-S3|chr1:110198722-110545246
HeLa-S3|chr1:110186601-110527107	HeLa-S3|chr1:110198722-110545951
HeLa-S3|chr1:110186601-110527107	HeLa-S3|chr1:110198722-110547599
HeLa-S3|chr1:110186601-110527107	HeLa-S3|chr1:110199109-110527107
HeLa-S3|chr1:110186660-110527107	HeLa-S3|chr1:110187747-110527107
HeLa-S3|chr1:110186660-110527107	HeLa-S3|chr1:110193662-110527107
HeLa-S3|chr1:110186660-110527107	HeLa-S3|chr1:110194379-110527107
HeLa-S3|chr1:110186660-110527107	HeLa-S3|chr1:110195567-110527107
HeLa-S3|chr1:110186660-110527107	HeLa-S3|chr1:110196421-110527107
HeLa-S3|chr1:110186660-110527107	HeLa-S3|chr1:110198722-110526403
HeLa-S3|chr1:110186660-110527107	HeLa-S3|chr1:110198722-110526599
HeLa-S3|chr1:110186660-110527107	HeLa-S3|chr1:110198722-110544028
HeLa-S3|chr1:110186660-110527107	HeLa-S3|chr1:110198722-110544199
HeLa-S3|chr1:110186660-110527107	HeLa-S3|chr1:110198722-110544877
HeLa-S3|chr1:110186660-110527107	HeLa-S3|chr1:110198722-110544999
HeLa-S3|chr1:110186660-110527107	HeLa-S3|chr1:110198722-110545246
HeLa-S3|chr1:110186660-110527107	HeLa-S3|chr1:110198722-110545951
HeLa-S3|chr1:110186660-110527107	HeLa-S3|chr1:110198722-110547599
