IMR90|chr10:101736400-101736800	IMR90|chr10:101737000-101737400
IMR90|chr10:5985400-5986400	IMR90|chr10:5988400-5988600
IMR90|chr10:65387200-65387600	IMR90|chr10:65388000-65388200
IMR90|chr10:65388000-65388200	IMR90|chr10:65391400-65391600
IMR90|chr10:73021200-73023000	IMR90|chr10:73025800-73026800
IMR90|chr10:73025800-73026800	IMR90|chr10:73028200-73028400
IMR90|chr10:73025800-73026800	IMR90|chr10:73028400-73028800
IMR90|chr10:73028200-73028400	IMR90|chr10:73028400-73028800
IMR90|chr10:73028200-73028400	IMR90|chr10:73031200-73031800
IMR90|chr10:73028400-73028800	IMR90|chr10:73031200-73031800
IMR90|chr10:73028400-73028800	IMR90|chr10:73032000-73032400
IMR90|chr10:73031200-73031800	IMR90|chr10:73032000-73032400
IMR90|chr10:73031200-73031800	IMR90|chr10:73032600-73032800
IMR90|chr10:73032000-73032400	IMR90|chr10:73032600-73032800
IMR90|chr10:74591400-74591800	IMR90|chr10:74591800-74592000
IMR90|chr10:89298000-89298200	IMR90|chr10:89298200-89298400
IMR90|chr10:89298000-89298200	IMR90|chr10:89298600-89299000
IMR90|chr10:89298200-89298400	IMR90|chr10:89298600-89299000
IMR90|chr10:89307400-89307600	IMR90|chr10:89307600-89308000
IMR90|chr10:89307400-89307600	IMR90|chr10:89308000-89308200
IMR90|chr10:89307400-89307600	IMR90|chr10:89308200-89308400
IMR90|chr10:89307400-89307600	IMR90|chr10:89309400-89309600
IMR90|chr10:89307400-89307600	IMR90|chr10:89310400-89310600
IMR90|chr10:89307600-89308000	IMR90|chr10:89308000-89308200
IMR90|chr10:89307600-89308000	IMR90|chr10:89308200-89308400
IMR90|chr10:89307600-89308000	IMR90|chr10:89309400-89309600
IMR90|chr10:89307600-89308000	IMR90|chr10:89310400-89310600
IMR90|chr10:89308000-89308200	IMR90|chr10:89308200-89308400
IMR90|chr10:89308000-89308200	IMR90|chr10:89309400-89309600
IMR90|chr10:89308000-89308200	IMR90|chr10:89310400-89310600
IMR90|chr10:89308200-89308400	IMR90|chr10:89309400-89309600
IMR90|chr10:89308200-89308400	IMR90|chr10:89310400-89310600
IMR90|chr10:89309400-89309600	IMR90|chr10:89310400-89310600
IMR90|chr10:94839800-94840000	IMR90|chr10:94840200-94840400
IMR90|chr1:103574600-103574800	IMR90|chr1:103574800-103575000
IMR90|chr1:103574600-103574800	IMR90|chr1:103575000-103575200
IMR90|chr1:103574800-103575000	IMR90|chr1:103575000-103575200
IMR90|chr1:109806000-109806400	IMR90|chr1:109806400-109806600
IMR90|chr1:109806000-109806400	IMR90|chr1:109809800-109810000
IMR90|chr1:109806400-109806600	IMR90|chr1:109809800-109810000
IMR90|chr1:110073000-110074600	IMR90|chr1:110074600-110075000
IMR90|chr1:110073000-110074600	IMR90|chr1:110075600-110075800
IMR90|chr1:110074600-110075000	IMR90|chr1:110075600-110075800
IMR90|chr1:110185800-110186200	IMR90|chr1:110186200-110186600
IMR90|chr1:110185800-110186200	IMR90|chr1:110186600-110186800
IMR90|chr1:110186200-110186600	IMR90|chr1:110186600-110186800
IMR90|chr11:101878400-101878600	IMR90|chr11:101881000-101881400
IMR90|chr11:101878400-101878600	IMR90|chr11:101881600-101882200
IMR90|chr11:101881000-101881400	IMR90|chr11:101881600-101882200
IMR90|chr1:110931600-110932200	IMR90|chr1:110932200-110932400
IMR90|chr1:110931600-110932200	IMR90|chr1:110934000-110934200
IMR90|chr1:110931600-110932200	IMR90|chr1:110934400-110934800
IMR90|chr1:110931600-110932200	IMR90|chr1:110935200-110935600
IMR90|chr1:110932200-110932400	IMR90|chr1:110934000-110934200
IMR90|chr1:110932200-110932400	IMR90|chr1:110934400-110934800
IMR90|chr1:110932200-110932400	IMR90|chr1:110935200-110935600
IMR90|chr1:110934000-110934200	IMR90|chr1:110934400-110934800
IMR90|chr1:110934000-110934200	IMR90|chr1:110935200-110935600
IMR90|chr1:110934000-110934200	IMR90|chr1:110936200-110936800
IMR90|chr1:110934000-110934200	IMR90|chr1:110936800-110937200
IMR90|chr1:110934400-110934800	IMR90|chr1:110935200-110935600
IMR90|chr1:110934400-110934800	IMR90|chr1:110936200-110936800
IMR90|chr1:110934400-110934800	IMR90|chr1:110936800-110937200
IMR90|chr1:110935200-110935600	IMR90|chr1:110936200-110936800
IMR90|chr1:110935200-110935600	IMR90|chr1:110936800-110937200
IMR90|chr1:110936200-110936800	IMR90|chr1:110936800-110937200
IMR90|chr11:110068600-110068800	IMR90|chr11:110070600-110071400
IMR90|chr11:117087000-117087200	IMR90|chr11:117087400-117090000
IMR90|chr11:117087400-117090000	IMR90|chr11:117091600-117093000
IMR90|chr11:117091600-117093000	IMR90|chr11:117093000-117093200
IMR90|chr11:120677800-120678000	IMR90|chr11:120678000-120678200
IMR90|chr11:120677800-120678000	IMR90|chr11:120678200-120678600
IMR90|chr11:120677800-120678000	IMR90|chr11:120678600-120678800
IMR90|chr11:120678000-120678200	IMR90|chr11:120678200-120678600
IMR90|chr11:120678000-120678200	IMR90|chr11:120678600-120678800
IMR90|chr11:120678200-120678600	IMR90|chr11:120678600-120678800
IMR90|chr11:124998600-124998800	IMR90|chr11:124998800-124999200
IMR90|chr11:124998600-124998800	IMR90|chr11:124999400-124999600
IMR90|chr11:124998800-124999200	IMR90|chr11:124999400-124999600
IMR90|chr11:133908000-133908200	IMR90|chr11:133909600-133909800
IMR90|chr11:133908000-133908200	IMR90|chr11:133910800-133911000
IMR90|chr11:133908000-133908200	IMR90|chr11:133911200-133911600
IMR90|chr11:133909600-133909800	IMR90|chr11:133910800-133911000
IMR90|chr11:133909600-133909800	IMR90|chr11:133911200-133911600
IMR90|chr11:133910800-133911000	IMR90|chr11:133911200-133911600
IMR90|chr11:133917000-133917200	IMR90|chr11:133917200-133917400
IMR90|chr11:133917000-133917200	IMR90|chr11:133917400-133918200
IMR90|chr11:133917000-133917200	IMR90|chr11:133920200-133920600
IMR90|chr11:133917200-133917400	IMR90|chr11:133917400-133918200
IMR90|chr11:133917200-133917400	IMR90|chr11:133920200-133920600
IMR90|chr11:133917200-133917400	IMR90|chr11:133920800-133921000
IMR90|chr11:133917400-133918200	IMR90|chr11:133920200-133920600
IMR90|chr11:133917400-133918200	IMR90|chr11:133920800-133921000
IMR90|chr11:133920200-133920600	IMR90|chr11:133920800-133921000
IMR90|chr11:16809800-16810000	IMR90|chr11:16810600-16811000
IMR90|chr11:16809800-16810000	IMR90|chr11:16812800-16813800
IMR90|chr11:16810600-16811000	IMR90|chr11:16812800-16813800
IMR90|chr11:2722400-2722600	IMR90|chr11:2722600-2722800
IMR90|chr11:35571800-35572400	IMR90|chr11:35574200-35575200
IMR90|chr11:35571800-35572400	IMR90|chr11:35575600-35576400
IMR90|chr11:35574200-35575200	IMR90|chr11:35575600-35576400
IMR90|chr11:35574200-35575200	IMR90|chr11:35576600-35576800
IMR90|chr11:35575600-35576400	IMR90|chr11:35576600-35576800
IMR90|chr1:150849800-150850000	IMR90|chr1:150851600-150852800
IMR90|chr1:153478000-153478800	IMR90|chr1:153479000-153479200
IMR90|chr1:153478000-153478800	IMR90|chr1:153479200-153479400
IMR90|chr1:153478000-153478800	IMR90|chr1:153479400-153480200
IMR90|chr1:153478000-153478800	IMR90|chr1:153480400-153480600
IMR90|chr1:153478000-153478800	IMR90|chr1:153480600-153480800
IMR90|chr1:153479000-153479200	IMR90|chr1:153479200-153479400
IMR90|chr1:153479000-153479200	IMR90|chr1:153479400-153480200
IMR90|chr1:153479000-153479200	IMR90|chr1:153480400-153480600
IMR90|chr1:153479000-153479200	IMR90|chr1:153480600-153480800
IMR90|chr1:153479200-153479400	IMR90|chr1:153479400-153480200
IMR90|chr1:153479200-153479400	IMR90|chr1:153480400-153480600
IMR90|chr1:153479200-153479400	IMR90|chr1:153480600-153480800
IMR90|chr1:153479400-153480200	IMR90|chr1:153480400-153480600
IMR90|chr1:153479400-153480200	IMR90|chr1:153480600-153480800
IMR90|chr1:153479400-153480200	IMR90|chr1:153483400-153483800
IMR90|chr1:153480400-153480600	IMR90|chr1:153480600-153480800
IMR90|chr1:153480400-153480600	IMR90|chr1:153483400-153483800
IMR90|chr1:153480600-153480800	IMR90|chr1:153483400-153483800
IMR90|chr1:154927800-154928000	IMR90|chr1:154929400-154929600
IMR90|chr1:154927800-154928000	IMR90|chr1:154930000-154930200
IMR90|chr1:154929400-154929600	IMR90|chr1:154930000-154930200
IMR90|chr1:155290000-155290200	IMR90|chr1:155290200-155290400
IMR90|chr1:155568400-155568600	IMR90|chr1:155569000-155569200
IMR90|chr11:59340000-59340200	IMR90|chr11:59340400-59340800
IMR90|chr11:59340000-59340200	IMR90|chr11:59340800-59341000
IMR90|chr11:59340000-59340200	IMR90|chr11:59341000-59341800
IMR90|chr11:59340400-59340800	IMR90|chr11:59340800-59341000
IMR90|chr11:59340400-59340800	IMR90|chr11:59341000-59341800
IMR90|chr11:59340800-59341000	IMR90|chr11:59341000-59341800
IMR90|chr11:65042200-65042400	IMR90|chr11:65042400-65042600
IMR90|chr11:65042200-65042400	IMR90|chr11:65042600-65042800
IMR90|chr11:65042200-65042400	IMR90|chr11:65043000-65043200
IMR90|chr11:65042200-65042400	IMR90|chr11:65044800-65045000
IMR90|chr11:65042200-65042400	IMR90|chr11:65045000-65045200
IMR90|chr11:65042200-65042400	IMR90|chr11:65045800-65046200
IMR90|chr11:65042400-65042600	IMR90|chr11:65042600-65042800
IMR90|chr11:65042400-65042600	IMR90|chr11:65043000-65043200
IMR90|chr11:65042400-65042600	IMR90|chr11:65044800-65045000
IMR90|chr11:65042400-65042600	IMR90|chr11:65045000-65045200
IMR90|chr11:65042400-65042600	IMR90|chr11:65045800-65046200
IMR90|chr11:65042600-65042800	IMR90|chr11:65043000-65043200
IMR90|chr11:65042600-65042800	IMR90|chr11:65044800-65045000
IMR90|chr11:65042600-65042800	IMR90|chr11:65045000-65045200
IMR90|chr11:65042600-65042800	IMR90|chr11:65045800-65046200
IMR90|chr11:65042600-65042800	IMR90|chr11:65046200-65046400
IMR90|chr11:65043000-65043200	IMR90|chr11:65044800-65045000
IMR90|chr11:65043000-65043200	IMR90|chr11:65045000-65045200
IMR90|chr11:65043000-65043200	IMR90|chr11:65045800-65046200
IMR90|chr11:65043000-65043200	IMR90|chr11:65046200-65046400
IMR90|chr11:65044800-65045000	IMR90|chr11:65045000-65045200
IMR90|chr11:65044800-65045000	IMR90|chr11:65045800-65046200
IMR90|chr11:65044800-65045000	IMR90|chr11:65046200-65046400
IMR90|chr11:65044800-65045000	IMR90|chr11:65047000-65047400
IMR90|chr11:65044800-65045000	IMR90|chr11:65047600-65047800
IMR90|chr11:65044800-65045000	IMR90|chr11:65047800-65048000
IMR90|chr11:65045000-65045200	IMR90|chr11:65045800-65046200
IMR90|chr11:65045000-65045200	IMR90|chr11:65046200-65046400
IMR90|chr11:65045000-65045200	IMR90|chr11:65047000-65047400
IMR90|chr11:65045000-65045200	IMR90|chr11:65047600-65047800
IMR90|chr11:65045000-65045200	IMR90|chr11:65047800-65048000
IMR90|chr11:65045800-65046200	IMR90|chr11:65046200-65046400
IMR90|chr11:65045800-65046200	IMR90|chr11:65047000-65047400
IMR90|chr11:65045800-65046200	IMR90|chr11:65047600-65047800
IMR90|chr11:65045800-65046200	IMR90|chr11:65047800-65048000
IMR90|chr11:65046200-65046400	IMR90|chr11:65047000-65047400
IMR90|chr11:65046200-65046400	IMR90|chr11:65047600-65047800
IMR90|chr11:65046200-65046400	IMR90|chr11:65047800-65048000
IMR90|chr11:65047000-65047400	IMR90|chr11:65047600-65047800
IMR90|chr11:65047000-65047400	IMR90|chr11:65047800-65048000
IMR90|chr11:65047600-65047800	IMR90|chr11:65047800-65048000
IMR90|chr1:16507600-16508400	IMR90|chr1:16509000-16509200
IMR90|chr1:16507600-16508400	IMR90|chr1:16509200-16509400
IMR90|chr1:16507600-16508400	IMR90|chr1:16511200-16511400
IMR90|chr1:16509000-16509200	IMR90|chr1:16509200-16509400
IMR90|chr1:16509000-16509200	IMR90|chr1:16511200-16511400
IMR90|chr1:16509200-16509400	IMR90|chr1:16511200-16511400
IMR90|chr1:16511200-16511400	IMR90|chr1:16514000-16514200
IMR90|chr1:16511200-16511400	IMR90|chr1:16514200-16514400
IMR90|chr1:16514000-16514200	IMR90|chr1:16514200-16514400
IMR90|chr1:16514000-16514200	IMR90|chr1:16515000-16517000
IMR90|chr1:16514200-16514400	IMR90|chr1:16515000-16517000
IMR90|chr1:165742200-165742400	IMR90|chr1:165742800-165743000
IMR90|chr1:16691000-16691400	IMR90|chr1:16693000-16693400
IMR90|chr11:67146800-67147400	IMR90|chr11:67148400-67148600
IMR90|chr11:67146800-67147400	IMR90|chr11:67149800-67150000
IMR90|chr11:67146800-67147400	IMR90|chr11:67150000-67150200
IMR90|chr11:67148400-67148600	IMR90|chr11:67149800-67150000
IMR90|chr11:67148400-67148600	IMR90|chr11:67150000-67150200
IMR90|chr11:67148400-67148600	IMR90|chr11:67152000-67152200
IMR90|chr11:67149800-67150000	IMR90|chr11:67150000-67150200
IMR90|chr11:67149800-67150000	IMR90|chr11:67152000-67152200
IMR90|chr11:67149800-67150000	IMR90|chr11:67152200-67152800
IMR90|chr11:67149800-67150000	IMR90|chr11:67152800-67153000
IMR90|chr11:67150000-67150200	IMR90|chr11:67152000-67152200
IMR90|chr11:67150000-67150200	IMR90|chr11:67152200-67152800
IMR90|chr11:67150000-67150200	IMR90|chr11:67152800-67153000
IMR90|chr11:67152000-67152200	IMR90|chr11:67152200-67152800
IMR90|chr11:67152000-67152200	IMR90|chr11:67152800-67153000
IMR90|chr11:67152200-67152800	IMR90|chr11:67152800-67153000
IMR90|chr1:169087600-169088400	IMR90|chr1:169088600-169089000
IMR90|chr1:169087600-169088400	IMR90|chr1:169089600-169089800
IMR90|chr1:169087600-169088400	IMR90|chr1:169089800-169090000
IMR90|chr1:169088600-169089000	IMR90|chr1:169089600-169089800
IMR90|chr1:169088600-169089000	IMR90|chr1:169089800-169090000
IMR90|chr1:169089600-169089800	IMR90|chr1:169089800-169090000
IMR90|chr11:72142000-72142200	IMR90|chr11:72142200-72142800
IMR90|chr1:173399800-173400200	IMR90|chr1:173400600-173401000
IMR90|chr11:78273600-78274200	IMR90|chr11:78275200-78276200
IMR90|chr11:78275200-78276200	IMR90|chr11:78278200-78278600
IMR90|chr1:178507000-178507200	IMR90|chr1:178507200-178507400
IMR90|chr1:178507000-178507200	IMR90|chr1:178507400-178507600
IMR90|chr1:178507000-178507200	IMR90|chr1:178508400-178508600
IMR90|chr1:178507000-178507200	IMR90|chr1:178508800-178509400
IMR90|chr1:178507000-178507200	IMR90|chr1:178509400-178510600
IMR90|chr1:178507200-178507400	IMR90|chr1:178507400-178507600
IMR90|chr1:178507200-178507400	IMR90|chr1:178508400-178508600
IMR90|chr1:178507200-178507400	IMR90|chr1:178508800-178509400
IMR90|chr1:178507200-178507400	IMR90|chr1:178509400-178510600
IMR90|chr1:178507400-178507600	IMR90|chr1:178508400-178508600
IMR90|chr1:178507400-178507600	IMR90|chr1:178508800-178509400
IMR90|chr1:178507400-178507600	IMR90|chr1:178509400-178510600
IMR90|chr1:178508400-178508600	IMR90|chr1:178508800-178509400
IMR90|chr1:178508400-178508600	IMR90|chr1:178509400-178510600
IMR90|chr1:178508800-178509400	IMR90|chr1:178509400-178510600
IMR90|chr1:180477000-180477200	IMR90|chr1:180477600-180478000
IMR90|chr1:180477000-180477200	IMR90|chr1:180478200-180478400
IMR90|chr1:180477600-180478000	IMR90|chr1:180478200-180478400
IMR90|chr1:180484600-180485600	IMR90|chr1:180485600-180486400
IMR90|chr1:181103200-181103600	IMR90|chr1:181105400-181105800
IMR90|chr1:181103200-181103600	IMR90|chr1:181106000-181106200
IMR90|chr1:181105400-181105800	IMR90|chr1:181106000-181106200
IMR90|chr1:181105400-181105800	IMR90|chr1:181108800-181110000
IMR90|chr1:181106000-181106200	IMR90|chr1:181108800-181110000
IMR90|chr1:181108800-181110000	IMR90|chr1:181110400-181110600
IMR90|chr1:181108800-181110000	IMR90|chr1:181110600-181111200
IMR90|chr1:181108800-181110000	IMR90|chr1:181112000-181112200
IMR90|chr1:181110400-181110600	IMR90|chr1:181110600-181111200
IMR90|chr1:181110400-181110600	IMR90|chr1:181112000-181112200
IMR90|chr1:181110600-181111200	IMR90|chr1:181112000-181112200
IMR90|chr1:182924600-182924800	IMR90|chr1:182925200-182925400
IMR90|chr1:183187200-183187400	IMR90|chr1:183188000-183188400
IMR90|chr1:207077600-207078000	IMR90|chr1:207079000-207079200
IMR90|chr1:207077600-207078000	IMR90|chr1:207080200-207080400
IMR90|chr1:207077600-207078000	IMR90|chr1:207080400-207080600
IMR90|chr1:207077600-207078000	IMR90|chr1:207080600-207080800
IMR90|chr1:207079000-207079200	IMR90|chr1:207080200-207080400
IMR90|chr1:207079000-207079200	IMR90|chr1:207080400-207080600
IMR90|chr1:207079000-207079200	IMR90|chr1:207080600-207080800
IMR90|chr1:207080200-207080400	IMR90|chr1:207080400-207080600
IMR90|chr1:207080200-207080400	IMR90|chr1:207080600-207080800
IMR90|chr1:207080400-207080600	IMR90|chr1:207080600-207080800
IMR90|chr1:208196000-208196200	IMR90|chr1:208198800-208199000
IMR90|chr1:208198800-208199000	IMR90|chr1:208202000-208202400
IMR90|chr1:20902000-20902200	IMR90|chr1:20902200-20902400
IMR90|chr1:20902000-20902200	IMR90|chr1:20903200-20903400
IMR90|chr1:20902200-20902400	IMR90|chr1:20903200-20903400
IMR90|chr12:102176000-102176200	IMR90|chr12:102176200-102176600
IMR90|chr12:106695200-106695400	IMR90|chr12:106698000-106698200
IMR90|chr12:109006400-109007800	IMR90|chr12:109010600-109011000
IMR90|chr12:109010600-109011000	IMR90|chr12:109011600-109012600
IMR90|chr12:109010600-109011000	IMR90|chr12:109014000-109014400
IMR90|chr12:109011600-109012600	IMR90|chr12:109014000-109014400
IMR90|chr12:109014000-109014400	IMR90|chr12:109016800-109017000
IMR90|chr12:109195200-109195400	IMR90|chr12:109196600-109198000
IMR90|chr12:109196600-109198000	IMR90|chr12:109198800-109199600
IMR90|chr12:124065600-124065800	IMR90|chr12:124066600-124066800
IMR90|chr12:14409200-14411800	IMR90|chr12:14414200-14414400
IMR90|chr1:221651600-221651800	IMR90|chr1:221651800-221652000
IMR90|chr1:222161000-222161200	IMR90|chr1:222164600-222165000
IMR90|chr1:222164600-222165000	IMR90|chr1:222167800-222168400
IMR90|chr1:222167800-222168400	IMR90|chr1:222168600-222169000
IMR90|chr1:222627800-222628000	IMR90|chr1:222629400-222629600
IMR90|chr12:25586000-25586400	IMR90|chr12:25586400-25587000
IMR90|chr12:25586000-25586400	IMR90|chr12:25587000-25587400
IMR90|chr12:25586000-25586400	IMR90|chr12:25587600-25587800
IMR90|chr12:25586400-25587000	IMR90|chr12:25587000-25587400
IMR90|chr12:25586400-25587000	IMR90|chr12:25587600-25587800
IMR90|chr12:25587000-25587400	IMR90|chr12:25587600-25587800
IMR90|chr1:230905000-230905200	IMR90|chr1:230908600-230909000
IMR90|chr1:2342400-2343000	IMR90|chr1:2345000-2345600
IMR90|chr1:2342400-2343000	IMR90|chr1:2346200-2346400
IMR90|chr1:2345000-2345600	IMR90|chr1:2346200-2346400
IMR90|chr1:23864000-23864600	IMR90|chr1:23866400-23866800
IMR90|chr1:240190600-240190800	IMR90|chr1:240193400-240193600
IMR90|chr1:240190600-240190800	IMR90|chr1:240193800-240194200
IMR90|chr1:240193400-240193600	IMR90|chr1:240193800-240194200
IMR90|chr1:240193400-240193600	IMR90|chr1:240194800-240195000
IMR90|chr1:240193800-240194200	IMR90|chr1:240194800-240195000
IMR90|chr1:240855000-240855600	IMR90|chr1:240855600-240855800
IMR90|chr1:242000800-242001000	IMR90|chr1:242001600-242001800
IMR90|chr1:242000800-242001000	IMR90|chr1:242002600-242002800
IMR90|chr1:242001600-242001800	IMR90|chr1:242002600-242002800
IMR90|chr1:245127000-245127400	IMR90|chr1:245127800-245128400
IMR90|chr1:245127000-245127400	IMR90|chr1:245128600-245129000
IMR90|chr1:245127000-245127400	IMR90|chr1:245129000-245129200
IMR90|chr1:245127800-245128400	IMR90|chr1:245128600-245129000
IMR90|chr1:245127800-245128400	IMR90|chr1:245129000-245129200
IMR90|chr1:245128600-245129000	IMR90|chr1:245129000-245129200
IMR90|chr12:54614000-54614400	IMR90|chr12:54614400-54615400
IMR90|chr12:54614000-54614400	IMR90|chr12:54616000-54616200
IMR90|chr12:54614000-54614400	IMR90|chr12:54616200-54616400
IMR90|chr12:54614000-54614400	IMR90|chr12:54616800-54617000
IMR90|chr12:54614400-54615400	IMR90|chr12:54616000-54616200
IMR90|chr12:54614400-54615400	IMR90|chr12:54616200-54616400
IMR90|chr12:54614400-54615400	IMR90|chr12:54616800-54617000
IMR90|chr12:54616000-54616200	IMR90|chr12:54616200-54616400
IMR90|chr12:54616000-54616200	IMR90|chr12:54616800-54617000
IMR90|chr12:54616200-54616400	IMR90|chr12:54616800-54617000
IMR90|chr12:54621200-54622400	IMR90|chr12:54622600-54623000
IMR90|chr12:56327600-56328800	IMR90|chr12:56329600-56329800
IMR90|chr12:56422400-56422600	IMR90|chr12:56423600-56423800
IMR90|chr12:56513200-56513800	IMR90|chr12:56513800-56514000
IMR90|chr12:56616600-56616800	IMR90|chr12:56616800-56617000
IMR90|chr12:6149000-6149400	IMR90|chr12:6152800-6153200
IMR90|chr12:6152800-6153200	IMR90|chr12:6153400-6153600
IMR90|chr12:6152800-6153200	IMR90|chr12:6156000-6156400
IMR90|chr12:6153400-6153600	IMR90|chr12:6156000-6156400
IMR90|chr12:6153400-6153600	IMR90|chr12:6157000-6157200
IMR90|chr12:6156000-6156400	IMR90|chr12:6157000-6157200
IMR90|chr12:6162000-6162400	IMR90|chr12:6162400-6162800
IMR90|chr12:6170600-6171000	IMR90|chr12:6171000-6171400
IMR90|chr12:6170600-6171000	IMR90|chr12:6172000-6172400
IMR90|chr12:6171000-6171400	IMR90|chr12:6172000-6172400
IMR90|chr12:6172000-6172400	IMR90|chr12:6174800-6175400
IMR90|chr12:6174800-6175400	IMR90|chr12:6177400-6178200
IMR90|chr12:6174800-6175400	IMR90|chr12:6178200-6178400
IMR90|chr12:6174800-6175400	IMR90|chr12:6178400-6178600
IMR90|chr12:6174800-6175400	IMR90|chr12:6178600-6179200
IMR90|chr12:6177400-6178200	IMR90|chr12:6178200-6178400
IMR90|chr12:6177400-6178200	IMR90|chr12:6178400-6178600
IMR90|chr12:6177400-6178200	IMR90|chr12:6178600-6179200
IMR90|chr12:6177400-6178200	IMR90|chr12:6179200-6179600
IMR90|chr12:6178200-6178400	IMR90|chr12:6178400-6178600
IMR90|chr12:6178200-6178400	IMR90|chr12:6178600-6179200
