HUVEC|chr10:129807600-129808843	HUVEC|chr10:129809146-129809717
HUVEC|chr11:60543978-60544149	HUVEC|chr11:60544333-60545655
HUVEC|chr11:61160400-61161000	HUVEC|chr11:61161000-61161038
HUVEC|chr1:16120903-16122200	HUVEC|chr1:16122600-16123781
HUVEC|chr1:16122600-16123781	HUVEC|chr1:16123931-16124842
HUVEC|chr1:163041400-163041623	HUVEC|chr1:163041724-163043137
HUVEC|chr11:64066600-64067400	HUVEC|chr11:64067800-64068526
HUVEC|chr11:64067800-64068526	HUVEC|chr11:64068804-64068921
HUVEC|chr11:68873355-68873517	HUVEC|chr11:68873637-68874094
HUVEC|chr11:69515363-69515455	HUVEC|chr11:69515591-69515800
HUVEC|chr11:72878480-72879200	HUVEC|chr11:72879200-72879209
HUVEC|chr11:72895840-72896000	HUVEC|chr11:72897600-72897800
HUVEC|chr11:72897600-72897800	HUVEC|chr11:72897800-72897838
HUVEC|chr11:82968800-82969256	HUVEC|chr11:82969455-82969622
HUVEC|chr11:9781200-9782000	HUVEC|chr11:9782019-9782146
HUVEC|chr1:204096561-204096778	HUVEC|chr1:204096989-204097331
HUVEC|chr1:204096561-204096778	HUVEC|chr1:204097926-204098247
HUVEC|chr1:204096989-204097331	HUVEC|chr1:204097926-204098247
HUVEC|chr12:104670224-104670316	HUVEC|chr12:104671139-104671944
HUVEC|chr12:105814918-105815000	HUVEC|chr12:105815000-105815077
HUVEC|chr12:109196000-109197546	HUVEC|chr12:109197638-109197738
HUVEC|chr12:109196000-109197546	HUVEC|chr12:109197920-109198200
HUVEC|chr12:109197638-109197738	HUVEC|chr12:109197920-109198200
HUVEC|chr1:211499600-211499800	HUVEC|chr1:211500200-211500211
HUVEC|chr1:211499600-211499800	HUVEC|chr1:211500778-211501200
HUVEC|chr1:211500200-211500211	HUVEC|chr1:211500778-211501200
HUVEC|chr1:211688333-211688600	HUVEC|chr1:211689400-211689473
HUVEC|chr12:118619968-118620126	HUVEC|chr12:118621444-118622041
HUVEC|chr12:118626523-118626917	HUVEC|chr12:118627389-118627400
HUVEC|chr1:213935339-213935400	HUVEC|chr1:213935400-213935472
HUVEC|chr12:3141600-3142572	HUVEC|chr12:3143103-3143200
HUVEC|chr1:234634729-234634800	HUVEC|chr1:234634800-234634821
HUVEC|chr1:234634729-234634800	HUVEC|chr1:234634957-234635693
HUVEC|chr1:234634800-234634821	HUVEC|chr1:234634957-234635693
HUVEC|chr1:234651042-234652021	HUVEC|chr1:234652270-234652392
HUVEC|chr1:241774618-241774787	HUVEC|chr1:241775621-241776679
HUVEC|chr12:43682557-43683400	HUVEC|chr12:43683400-43683491
HUVEC|chr12:4377649-4378506	HUVEC|chr12:4378624-4379200
HUVEC|chr12:4382814-4383400	HUVEC|chr12:4383800-4385000
HUVEC|chr1:244411458-244411648	HUVEC|chr1:244411740-244412440
HUVEC|chr12:53608200-53609200	HUVEC|chr12:53609200-53609226
HUVEC|chr12:59448690-59450196	HUVEC|chr12:59450793-59451000
HUVEC|chr12:59450793-59451000	HUVEC|chr12:59451000-59451013
HUVEC|chr12:59463156-59463200	HUVEC|chr12:59463200-59464888
HUVEC|chr12:59468593-59469652	HUVEC|chr12:59469784-59471997
HUVEC|chr12:59472719-59472800	HUVEC|chr12:59472800-59473526
HUVEC|chr1:26361217-26361800	HUVEC|chr1:26362769-26363000
HUVEC|chr1:26361217-26361800	HUVEC|chr1:26363000-26363035
HUVEC|chr1:26362769-26363000	HUVEC|chr1:26363000-26363035
HUVEC|chr1:27928200-27928800	HUVEC|chr1:27929400-27929695
HUVEC|chr1:27929400-27929695	HUVEC|chr1:27930800-27931200
HUVEC|chr12:89412972-89413800	HUVEC|chr12:89413800-89413835
HUVEC|chr1:29210139-29210597	HUVEC|chr1:29210755-29211600
HUVEC|chr12:94493994-94494270	HUVEC|chr12:94495033-94495200
HUVEC|chr12:94493994-94494270	HUVEC|chr12:94495200-94495218
HUVEC|chr12:94493994-94494270	HUVEC|chr12:94495416-94496067
HUVEC|chr12:94495033-94495200	HUVEC|chr12:94495200-94495218
HUVEC|chr12:94495033-94495200	HUVEC|chr12:94495416-94496067
HUVEC|chr12:94495033-94495200	HUVEC|chr12:94496394-94496400
HUVEC|chr12:94495200-94495218	HUVEC|chr12:94495416-94496067
HUVEC|chr12:94495200-94495218	HUVEC|chr12:94496394-94496400
HUVEC|chr12:94495416-94496067	HUVEC|chr12:94496394-94496400
HUVEC|chr12:96878600-96879889	HUVEC|chr12:96880123-96880271
HUVEC|chr12:96878600-96879889	HUVEC|chr12:96880366-96880644
HUVEC|chr12:96880123-96880271	HUVEC|chr12:96880366-96880644
HUVEC|chr12:96880366-96880644	HUVEC|chr12:96880736-96882800
HUVEC|chr13:109609906-109610025	HUVEC|chr13:109610298-109610409
HUVEC|chr13:21276585-21276600	HUVEC|chr13:21276600-21277200
HUVEC|chr13:21276600-21277200	HUVEC|chr13:21278418-21278550
HUVEC|chr13:21278418-21278550	HUVEC|chr13:21278698-21279000
HUVEC|chr13:21278418-21278550	HUVEC|chr13:21279000-21279030
HUVEC|chr13:21278698-21279000	HUVEC|chr13:21279000-21279030
HUVEC|chr13:21282732-21282991	HUVEC|chr13:21283084-21284296
HUVEC|chr1:36886313-36886400	HUVEC|chr1:36886400-36886588
HUVEC|chr13:80622694-80623699	HUVEC|chr13:80624169-80624600
HUVEC|chr13:80622694-80623699	HUVEC|chr13:80624600-80624680
HUVEC|chr13:80624169-80624600	HUVEC|chr13:80624600-80624680
HUVEC|chr14:23024645-23026710	HUVEC|chr14:23026826-23028673
HUVEC|chr14:23030546-23030800	HUVEC|chr14:23030834-23031000
HUVEC|chr14:24804800-24805000	HUVEC|chr14:24805000-24805029
HUVEC|chr14:24808126-24808200	HUVEC|chr14:24808400-24809400
HUVEC|chr14:31825131-31825200	HUVEC|chr14:31825200-31825242
HUVEC|chr14:31825131-31825200	HUVEC|chr14:31826110-31827102
HUVEC|chr14:31825200-31825242	HUVEC|chr14:31826110-31827102
HUVEC|chr1:43533524-43533600	HUVEC|chr1:43533600-43534469
HUVEC|chr14:39843718-39844974	HUVEC|chr14:39845753-39846829
HUVEC|chr14:50994811-50995000	HUVEC|chr14:50995000-50995200
HUVEC|chr1:45308294-45308792	HUVEC|chr1:45309002-45309386
HUVEC|chr14:61928200-61928517	HUVEC|chr14:61928795-61930152
HUVEC|chr14:61939200-61940388	HUVEC|chr14:61940879-61941026
HUVEC|chr14:61940879-61941026	HUVEC|chr14:61941545-61942028
HUVEC|chr14:68067400-68067600	HUVEC|chr14:68067600-68067707
HUVEC|chr14:75258200-75258636	HUVEC|chr14:75258784-75260870
HUVEC|chr14:85442233-85442377	HUVEC|chr14:85442827-85442997
HUVEC|chr15:101429106-101430600	HUVEC|chr15:101430600-101430607
HUVEC|chr15:101430600-101430607	HUVEC|chr15:101431727-101432200
HUVEC|chr15:101547524-101547723	HUVEC|chr15:101548207-101548400
HUVEC|chr15:101547524-101547723	HUVEC|chr15:101548960-101549052
HUVEC|chr15:101548207-101548400	HUVEC|chr15:101548960-101549052
HUVEC|chr15:102181200-102181556	HUVEC|chr15:102181693-102183283
HUVEC|chr15:40337600-40337800	HUVEC|chr15:40337800-40337840
HUVEC|chr15:43212600-43212676	HUVEC|chr15:43213800-43214195
HUVEC|chr15:45018358-45019650	HUVEC|chr15:45020100-45020400
HUVEC|chr15:45478850-45479000	HUVEC|chr15:45479000-45481000
HUVEC|chr15:45926604-45926974	HUVEC|chr15:45927762-45928200
HUVEC|chr15:75493244-75493384	HUVEC|chr15:75493513-75493600
HUVEC|chr1:59251400-59252052	HUVEC|chr1:59252250-59252464
HUVEC|chr15:93457800-93458534	HUVEC|chr15:93459389-93459400
HUVEC|chr15:95383394-95383602	HUVEC|chr15:95383848-95386064
HUVEC|chr15:95561600-95563020	HUVEC|chr15:95563152-95563349
HUVEC|chr1:60208789-60209744	HUVEC|chr1:60209844-60210154
HUVEC|chr16:2198208-2198545	HUVEC|chr16:2198637-2199600
HUVEC|chr16:2198208-2198545	HUVEC|chr16:2199600-2199631
HUVEC|chr16:2198637-2199600	HUVEC|chr16:2199600-2199631
HUVEC|chr16:31008200-31008456	HUVEC|chr16:31008590-31009400
HUVEC|chr16:31008200-31008456	HUVEC|chr16:31009400-31009495
HUVEC|chr16:31008590-31009400	HUVEC|chr16:31009400-31009495
HUVEC|chr16:31887200-31887816	HUVEC|chr16:31888021-31889200
HUVEC|chr16:57624410-57624600	HUVEC|chr16:57624600-57625509
HUVEC|chr16:58058600-58059662	HUVEC|chr16:58059788-58061600
HUVEC|chr16:67699697-67700400	HUVEC|chr16:67701615-67701732
HUVEC|chr16:68017449-68018142	HUVEC|chr16:68018663-68019161
HUVEC|chr1:67197934-67199190	HUVEC|chr1:67199294-67199570
HUVEC|chr16:84544800-84544948	HUVEC|chr16:84545300-84545392
HUVEC|chr16:87811301-87812846	HUVEC|chr16:87812938-87813326
HUVEC|chr16:87812938-87813326	HUVEC|chr16:87814018-87814602
HUVEC|chr16:87899999-87900110	HUVEC|chr16:87900420-87900800
HUVEC|chr16:88592472-88592564	HUVEC|chr16:88592836-88593220
HUVEC|chr16:88592472-88592564	HUVEC|chr16:88593576-88593600
HUVEC|chr16:88592472-88592564	HUVEC|chr16:88593600-88593873
HUVEC|chr16:88592836-88593220	HUVEC|chr16:88593576-88593600
HUVEC|chr16:88592836-88593220	HUVEC|chr16:88593600-88593873
HUVEC|chr16:88593576-88593600	HUVEC|chr16:88593600-88593873
HUVEC|chr16:88600322-88600586	HUVEC|chr16:88601000-88601052
HUVEC|chr16:88600322-88600586	HUVEC|chr16:88601362-88601454
HUVEC|chr16:88601000-88601052	HUVEC|chr16:88601362-88601454
HUVEC|chr17:1612697-1612800	HUVEC|chr17:1613051-1613408
HUVEC|chr17:17588107-17588400	HUVEC|chr17:17588800-17590200
HUVEC|chr17:1924079-1924177	HUVEC|chr17:1924305-1924517
HUVEC|chr17:1927200-1929410	HUVEC|chr17:1929581-1929600
HUVEC|chr17:1933000-1933200	HUVEC|chr17:1934200-1934551
HUVEC|chr17:27949154-27949782	HUVEC|chr17:27949914-27950383
HUVEC|chr17:31073031-31073203	HUVEC|chr17:31073680-31073864
HUVEC|chr17:32739617-32740306	HUVEC|chr17:32740406-32740729
HUVEC|chr17:41072800-41072808	HUVEC|chr17:41073200-41073582
HUVEC|chr17:42300200-42301600	HUVEC|chr17:42301600-42301607
HUVEC|chr17:46101800-46102200	HUVEC|chr17:46103200-46103472
HUVEC|chr17:46114463-46114703	HUVEC|chr17:46114809-46115170
HUVEC|chr17:46114463-46114703	HUVEC|chr17:46115262-46115600
HUVEC|chr17:46114809-46115170	HUVEC|chr17:46115262-46115600
HUVEC|chr17:46676200-46676400	HUVEC|chr17:46676400-46676409
HUVEC|chr17:46695200-46695400	HUVEC|chr17:46695600-46695973
HUVEC|chr17:46695200-46695400	HUVEC|chr17:46696269-46697000
HUVEC|chr17:46695600-46695973	HUVEC|chr17:46696269-46697000
HUVEC|chr17:47098532-47098728	HUVEC|chr17:47098977-47100656
HUVEC|chr17:4776059-4776151	HUVEC|chr17:4776200-4776589
HUVEC|chr17:47922400-47922638	HUVEC|chr17:47922730-47922800
HUVEC|chr17:4802401-4802846	HUVEC|chr17:4802982-4804326
HUVEC|chr17:48070800-48071600	HUVEC|chr17:48072200-48072800
HUVEC|chr17:48072200-48072800	HUVEC|chr17:48074180-48074751
HUVEC|chr17:48074180-48074751	HUVEC|chr17:48075084-48075288
HUVEC|chr17:58142676-58143850	HUVEC|chr17:58144121-58144200
HUVEC|chr17:66395068-66395179	HUVEC|chr17:66395763-66395920
HUVEC|chr17:67576766-67577038	HUVEC|chr17:67577382-67577400
HUVEC|chr1:78566647-78568987	HUVEC|chr1:78569122-78569214
HUVEC|chr1:78579896-78580000	HUVEC|chr1:78580000-78580108
HUVEC|chr17:882194-882385	HUVEC|chr17:882479-882600
HUVEC|chr17:882194-882385	HUVEC|chr17:883200-883672
HUVEC|chr17:882479-882600	HUVEC|chr17:883200-883672
HUVEC|chr18:12659800-12659915	HUVEC|chr18:12660029-12660933
HUVEC|chr18:20032055-20032800	HUVEC|chr18:20032800-20032813
HUVEC|chr18:20140400-20141265	HUVEC|chr18:20141357-20141634
HUVEC|chr18:20140400-20141265	HUVEC|chr18:20141825-20142200
HUVEC|chr18:20141357-20141634	HUVEC|chr18:20141825-20142200
HUVEC|chr18:20141825-20142200	HUVEC|chr18:20143600-20143825
HUVEC|chr18:20143600-20143825	HUVEC|chr18:20143917-20144379
HUVEC|chr18:22448676-22448815	HUVEC|chr18:22448915-22449007
HUVEC|chr18:22448676-22448815	HUVEC|chr18:22449109-22449216
HUVEC|chr18:22448915-22449007	HUVEC|chr18:22449109-22449216
HUVEC|chr1:85755152-85755200	HUVEC|chr1:85755200-85755600
HUVEC|chr1:85755152-85755200	HUVEC|chr1:85755600-85755676
HUVEC|chr1:85755200-85755600	HUVEC|chr1:85755600-85755676
HUVEC|chr1:85760921-85761000	HUVEC|chr1:85761000-85761577
HUVEC|chr1:85773646-85773869	HUVEC|chr1:85773996-85774960
HUVEC|chr1:85926712-85926812	HUVEC|chr1:85926904-85927524
HUVEC|chr18:59773011-59773308	HUVEC|chr18:59773404-59774000
HUVEC|chr18:59773011-59773308	HUVEC|chr18:59774000-59774119
HUVEC|chr18:59773404-59774000	HUVEC|chr18:59774000-59774119
HUVEC|chr18:60087240-60087367	HUVEC|chr18:60087400-60088593
HUVEC|chr18:60251358-60251400	HUVEC|chr18:60251400-60251689
HUVEC|chr18:60251358-60251400	HUVEC|chr18:60251884-60252000
HUVEC|chr18:60251400-60251689	HUVEC|chr18:60251884-60252000
HUVEC|chr18:60804970-60806000	HUVEC|chr18:60806400-60806463
HUVEC|chr1:90222543-90222600	HUVEC|chr1:90222600-90223000
HUVEC|chr1:90222543-90222600	HUVEC|chr1:90223400-90224178
HUVEC|chr1:90222600-90223000	HUVEC|chr1:90223400-90224178
HUVEC|chr1:90226092-90226444	HUVEC|chr1:90227223-90228200
HUVEC|chr19:1400600-1401958	HUVEC|chr19:1402243-1402338
HUVEC|chr19:16151382-16151832	HUVEC|chr19:16152042-16152509
HUVEC|chr19:16151382-16151832	HUVEC|chr19:16152707-16152807
HUVEC|chr19:16152042-16152509	HUVEC|chr19:16152707-16152807
HUVEC|chr19:34709288-34709400	HUVEC|chr19:34709400-34709525
HUVEC|chr19:38712982-38713100	HUVEC|chr19:38713192-38714000
HUVEC|chr19:38712982-38713100	HUVEC|chr19:38714000-38714770
HUVEC|chr19:38713192-38714000	HUVEC|chr19:38714000-38714770
HUVEC|chr19:38713192-38714000	HUVEC|chr19:38714865-38715339
HUVEC|chr19:38714000-38714770	HUVEC|chr19:38714865-38715339
HUVEC|chr19:38807200-38807236	HUVEC|chr19:38807698-38807800
HUVEC|chr19:38807200-38807236	HUVEC|chr19:38807800-38808316
HUVEC|chr19:38807698-38807800	HUVEC|chr19:38807800-38808316
HUVEC|chr19:38807698-38807800	HUVEC|chr19:38809405-38809503
HUVEC|chr19:38807800-38808316	HUVEC|chr19:38809405-38809503
HUVEC|chr19:38809405-38809503	HUVEC|chr19:38809799-38810669
HUVEC|chr19:38809799-38810669	HUVEC|chr19:38810761-38811593
HUVEC|chr19:38810761-38811593	HUVEC|chr19:38812039-38812131
HUVEC|chr1:93919292-93919400	HUVEC|chr1:93919400-93919959
HUVEC|chr19:39826204-39826551	HUVEC|chr19:39826915-39827000
HUVEC|chr19:4574332-4576273	HUVEC|chr19:4576365-4576400
HUVEC|chr19:4580000-4581783	HUVEC|chr19:4581875-4582200
HUVEC|chr19:4580000-4581783	HUVEC|chr19:4582200-4582353
HUVEC|chr19:4581875-4582200	HUVEC|chr19:4582200-4582353
HUVEC|chr19:45946011-45946400	HUVEC|chr19:45947600-45948386
HUVEC|chr19:49284200-49284533	HUVEC|chr19:49285608-49285800
HUVEC|chr19:982553-982781	HUVEC|chr19:983754-983800
HUVEC|chr19:9902200-9902524	HUVEC|chr19:9902770-9902800
HUVEC|chr20:25037271-25037400	HUVEC|chr20:25037400-25038279
HUVEC|chr20:25037400-25038279	HUVEC|chr20:25038403-25039800
HUVEC|chr20:33460200-33460642	HUVEC|chr20:33460736-33461200
HUVEC|chr20:36007136-36007289	HUVEC|chr20:36007422-36008169
HUVEC|chr20:36007136-36007289	HUVEC|chr20:36008446-36008600
HUVEC|chr20:36007422-36008169	HUVEC|chr20:36008446-36008600
HUVEC|chr20:48701716-48702200	HUVEC|chr20:48702600-48703516
HUVEC|chr20:48780478-48780736	HUVEC|chr20:48781783-48782400
HUVEC|chr20:48781783-48782400	HUVEC|chr20:48783000-48783563
HUVEC|chr20:552400-552600	HUVEC|chr20:552600-552995
HUVEC|chr21:16249752-16250980	HUVEC|chr21:16251353-16253171
HUVEC|chr2:11969290-11969400	HUVEC|chr2:11969400-11969414
HUVEC|chr2:11969290-11969400	HUVEC|chr2:11969511-11970000
HUVEC|chr2:11969290-11969400	HUVEC|chr2:11970800-11971197
HUVEC|chr2:11969400-11969414	HUVEC|chr2:11969511-11970000
HUVEC|chr2:11969400-11969414	HUVEC|chr2:11970800-11971197
HUVEC|chr2:11969511-11970000	HUVEC|chr2:11970800-11971197
HUVEC|chr2:11969511-11970000	HUVEC|chr2:11971326-11971461
HUVEC|chr2:11970800-11971197	HUVEC|chr2:11971326-11971461
HUVEC|chr21:27268031-27268124	HUVEC|chr21:27268223-27268629
HUVEC|chr21:27268031-27268124	HUVEC|chr21:27268775-27269477
HUVEC|chr21:27268223-27268629	HUVEC|chr21:27268775-27269477
HUVEC|chr21:27268223-27268629	HUVEC|chr21:27269912-27270394
HUVEC|chr21:27268775-27269477	HUVEC|chr21:27269912-27270394
HUVEC|chr21:27269912-27270394	HUVEC|chr21:27270786-27271400
HUVEC|chr2:131094400-131094612	HUVEC|chr2:131095200-131095400
HUVEC|chr2:13145875-13145973	HUVEC|chr2:13146067-13146189
HUVEC|chr2:13145875-13145973	HUVEC|chr2:13146335-13146427
HUVEC|chr2:13145875-13145973	HUVEC|chr2:13146894-13147041
HUVEC|chr2:13146067-13146189	HUVEC|chr2:13146335-13146427
HUVEC|chr2:13146067-13146189	HUVEC|chr2:13146894-13147041
HUVEC|chr2:13146335-13146427	HUVEC|chr2:13146894-13147041
HUVEC|chr2:135165749-135167143	HUVEC|chr2:135167248-135167456
HUVEC|chr2:135165749-135167143	HUVEC|chr2:135167645-135169400
HUVEC|chr2:135167248-135167456	HUVEC|chr2:135167645-135169400
HUVEC|chr21:35269592-35270047	HUVEC|chr21:35270191-35270799
HUVEC|chr21:35270191-35270799	HUVEC|chr21:35271554-35271765
HUVEC|chr21:35270191-35270799	HUVEC|chr21:35271904-35272088
HUVEC|chr21:35271554-35271765	HUVEC|chr21:35271904-35272088
HUVEC|chr21:39852000-39852567	HUVEC|chr21:39852663-39854400
HUVEC|chr21:46552183-46552275	HUVEC|chr21:46552378-46553570
HUVEC|chr2:177501230-177501437	HUVEC|chr2:177501665-177501800
HUVEC|chr2:177501665-177501800	HUVEC|chr2:177503200-177503345
HUVEC|chr2:182652387-182652617	HUVEC|chr2:182653713-182654195
HUVEC|chr2:187747430-187747528	HUVEC|chr2:187747600-187747812
HUVEC|chr2:187748483-187750216	HUVEC|chr2:187750400-187750492
HUVEC|chr2:187748483-187750216	HUVEC|chr2:187750741-187751478
HUVEC|chr2:187750400-187750492	HUVEC|chr2:187750741-187751478
HUVEC|chr2:187750400-187750492	HUVEC|chr2:187751835-187751932
HUVEC|chr2:187750741-187751478	HUVEC|chr2:187751835-187751932
HUVEC|chr2:197200042-197200293	HUVEC|chr2:197200515-197200600
HUVEC|chr2:205556980-205557000	HUVEC|chr2:205557000-205557800
HUVEC|chr2:205556980-205557000	HUVEC|chr2:205557800-205557807
HUVEC|chr2:205557000-205557800	HUVEC|chr2:205557800-205557807
HUVEC|chr2:216593200-216593535	HUVEC|chr2:216593693-216593964
HUVEC|chr2:219252000-219252109	HUVEC|chr2:219252600-219253000
HUVEC|chr2:219270400-219270600	HUVEC|chr2:219272200-219272227
HUVEC|chr22:32366357-32366600	HUVEC|chr22:32367200-32367400
HUVEC|chr22:32366357-32366600	HUVEC|chr22:32367400-32367417
HUVEC|chr22:32367200-32367400	HUVEC|chr22:32367400-32367417
HUVEC|chr22:36589408-36589527	HUVEC|chr22:36590620-36590804
HUVEC|chr22:36589408-36589527	HUVEC|chr22:36590896-36590996
HUVEC|chr22:36590620-36590804	HUVEC|chr22:36590896-36590996
HUVEC|chr22:36593144-36593236	HUVEC|chr22:36593400-36593820
HUVEC|chr22:36598899-36599000	HUVEC|chr22:36599000-36599052
HUVEC|chr22:36598899-36599000	HUVEC|chr22:36599224-36599317
HUVEC|chr22:36599000-36599052	HUVEC|chr22:36599224-36599317
HUVEC|chr22:39704299-39705591	HUVEC|chr22:39705794-39705948
HUVEC|chr22:40436824-40436944	HUVEC|chr22:40437260-40437478
HUVEC|chr22:40439688-40439800	HUVEC|chr22:40441200-40441393
HUVEC|chr22:40441200-40441393	HUVEC|chr22:40441625-40442200
HUVEC|chr22:42092960-42093000	HUVEC|chr22:42093000-42093600
HUVEC|chr22:42092960-42093000	HUVEC|chr22:42093600-42093769
HUVEC|chr22:42093000-42093600	HUVEC|chr22:42093600-42093769
HUVEC|chr22:42321800-42322132	HUVEC|chr22:42322395-42322956
HUVEC|chr22:42339600-42340874	HUVEC|chr22:42341028-42341400
HUVEC|chr22:46374681-46375067	HUVEC|chr22:46375800-46375858
HUVEC|chr22:46374681-46375067	HUVEC|chr22:46376033-46376231
HUVEC|chr22:46375800-46375858	HUVEC|chr22:46376033-46376231
HUVEC|chr22:46375800-46375858	HUVEC|chr22:46376752-46376845
HUVEC|chr22:46376033-46376231	HUVEC|chr22:46376752-46376845
HUVEC|chr22:50707468-50707581	HUVEC|chr22:50707890-50708800
HUVEC|chr22:50707890-50708800	HUVEC|chr22:50709200-50710224
HUVEC|chr2:28181947-28182083	HUVEC|chr2:28182298-28183627
HUVEC|chr2:36890964-36891000	HUVEC|chr2:36891000-36891441
HUVEC|chr2:43187758-43189088	HUVEC|chr2:43189216-43189597
HUVEC|chr3:104347341-104348159	HUVEC|chr3:104348264-104348478
HUVEC|chr3:120499266-120500400	HUVEC|chr3:120500600-120500906
HUVEC|chr3:120510501-120511931	HUVEC|chr3:120512033-120512125
HUVEC|chr3:120510501-120511931	HUVEC|chr3:120512232-120513081
HUVEC|chr3:120512033-120512125	HUVEC|chr3:120512232-120513081
HUVEC|chr3:120512033-120512125	HUVEC|chr3:120513741-120513800
HUVEC|chr3:120512232-120513081	HUVEC|chr3:120513741-120513800
HUVEC|chr3:133102172-133102373	HUVEC|chr3:133102807-133102962
HUVEC|chr3:142314460-142314600	HUVEC|chr3:142315449-142315800
HUVEC|chr3:145914800-145914828	HUVEC|chr3:145914969-145915244
HUVEC|chr3:153317295-153317886	HUVEC|chr3:153318948-153319748
HUVEC|chr3:156799213-156800000	HUVEC|chr3:156800000-156800011
HUVEC|chr3:158508827-158509000	HUVEC|chr3:158509000-158509155
HUVEC|chr3:168856400-168858392	HUVEC|chr3:168858583-168859600
HUVEC|chr3:170526802-170528644	HUVEC|chr3:170528750-170529892
HUVEC|chr3:182399855-182400200	HUVEC|chr3:182400800-182401322
HUVEC|chr3:183978000-183979283	HUVEC|chr3:183979397-183980200
HUVEC|chr3:193498851-193499200	HUVEC|chr3:193499201-193499294
HUVEC|chr3:193982417-193982800	HUVEC|chr3:193983600-193984897
HUVEC|chr3:193983600-193984897	HUVEC|chr3:193985556-193985677
HUVEC|chr3:194053878-194054580	HUVEC|chr3:194054839-194054950
HUVEC|chr3:33700400-33701400	HUVEC|chr3:33701600-33701920
HUVEC|chr3:50648222-50648600	HUVEC|chr3:50649800-50650200
HUVEC|chr3:50653682-50654389	HUVEC|chr3:50654930-50655400
HUVEC|chr3:51715303-51715600	HUVEC|chr3:51715674-51715766
HUVEC|chr3:51715303-51715600	HUVEC|chr3:51715919-51716138
HUVEC|chr3:51715674-51715766	HUVEC|chr3:51715919-51716138
HUVEC|chr3:52170359-52170600	HUVEC|chr3:52170600-52170952
HUVEC|chr3:58309864-58310405	HUVEC|chr3:58310780-58311798
HUVEC|chr3:98695893-98697896	HUVEC|chr3:98697991-98698419
HUVEC|chr3:98697991-98698419	HUVEC|chr3:98699829-98700284
HUVEC|chr3:99561980-99562141	HUVEC|chr3:99562561-99562653
HUVEC|chr4:126655699-126657554	HUVEC|chr4:126657726-126658029
HUVEC|chr4:126662727-126662800	HUVEC|chr4:126662800-126663000
HUVEC|chr4:129473654-129474200	HUVEC|chr4:129474400-129475600
HUVEC|chr4:129473654-129474200	HUVEC|chr4:129475600-129475606
HUVEC|chr4:129474400-129475600	HUVEC|chr4:129475600-129475606
HUVEC|chr4:141013308-141014668	HUVEC|chr4:141014827-141016600
HUVEC|chr4:141173235-141173400	HUVEC|chr4:141173400-141173600
HUVEC|chr4:148776207-148776447	HUVEC|chr4:148777005-148777097
HUVEC|chr4:170058125-170059375	HUVEC|chr4:170059470-170059585
HUVEC|chr4:170067807-170069088	HUVEC|chr4:170069180-170071403
HUVEC|chr4:185960800-185960985	HUVEC|chr4:185961253-185961484
