GM12878|chr10:101469347-101470000	GM12878|chr10:101470000-101470121
GM12878|chr1:117117600-117117802	GM12878|chr1:117117957-117118233
GM12878|chr11:32608200-32608226	GM12878|chr11:32608418-32608600
GM12878|chr11:34197200-34197400	GM12878|chr11:34197400-34197559
GM12878|chr11:34269784-34269925	GM12878|chr11:34270066-34270427
GM12878|chr11:34272439-34272702	GM12878|chr11:34272950-34273000
GM12878|chr11:348117-348400	GM12878|chr11:348400-349017
GM12878|chr11:349381-349400	GM12878|chr11:349400-349844
GM12878|chr1:146718658-146719004	GM12878|chr1:146719216-146719400
GM12878|chr1:150979600-150979800	GM12878|chr1:150979800-150979814
GM12878|chr1:150979600-150979800	GM12878|chr1:150979971-150980000
GM12878|chr1:150979800-150979814	GM12878|chr1:150979971-150980000
GM12878|chr1:154243463-154243857	GM12878|chr1:154244092-154244200
GM12878|chr1:155953200-155953359	GM12878|chr1:155953544-155953600
GM12878|chr1:155959511-155960000	GM12878|chr1:155960054-155960239
GM12878|chr11:57568029-57568187	GM12878|chr11:57568495-57568667
GM12878|chr11:58903711-58903800	GM12878|chr11:58903809-58903903
GM12878|chr11:59304600-59304742	GM12878|chr11:59305200-59305234
GM12878|chr11:59305200-59305234	GM12878|chr11:59305368-59305400
GM12878|chr11:60132400-60133000	GM12878|chr11:60133000-60133015
GM12878|chr1:161356080-161356411	GM12878|chr1:161356503-161356721
GM12878|chr1:161356503-161356721	GM12878|chr1:161356814-161356913
GM12878|chr1:161511800-161512000	GM12878|chr1:161512053-161512607
GM12878|chr11:62195015-62195252	GM12878|chr11:62195449-62195758
GM12878|chr11:64068000-64068045	GM12878|chr11:64068253-64068487
GM12878|chr11:64068253-64068487	GM12878|chr11:64068812-64069000
GM12878|chr11:65240200-65240534	GM12878|chr11:65240628-65240726
GM12878|chr11:65240628-65240726	GM12878|chr11:65241093-65241244
GM12878|chr11:66176264-66176442	GM12878|chr11:66176538-66176600
GM12878|chr11:66335800-66335986	GM12878|chr11:66336163-66336347
GM12878|chr1:169879437-169879600	GM12878|chr1:169879600-169879622
GM12878|chr1:172713982-172714143	GM12878|chr1:172714471-172714641
GM12878|chr1:173398923-173399400	GM12878|chr1:173399400-173399711
GM12878|chr1:181110000-181110098	GM12878|chr1:181110236-181110400
GM12878|chr11:82619359-82619400	GM12878|chr11:82619400-82619579
GM12878|chr11:82619359-82619400	GM12878|chr11:82619674-82619902
GM12878|chr11:82619400-82619579	GM12878|chr11:82619674-82619902
GM12878|chr11:82619674-82619902	GM12878|chr11:82620199-82620291
GM12878|chr1:183623600-183623606	GM12878|chr1:183623698-183624000
GM12878|chr1:192778631-192779025	GM12878|chr1:192779154-192779592
GM12878|chr11:95744717-95744858	GM12878|chr11:95744950-95745000
GM12878|chr11:95744717-95744858	GM12878|chr11:95745000-95745208
GM12878|chr11:95744950-95745000	GM12878|chr11:95745000-95745208
GM12878|chr11:95747000-95747600	GM12878|chr11:95747600-95747824
GM12878|chr1:205249213-205249400	GM12878|chr1:205249400-205249600
GM12878|chr1:207591705-207591936	GM12878|chr1:207592028-207592200
GM12878|chr1:207591705-207591936	GM12878|chr1:207592200-207592223
GM12878|chr1:207592028-207592200	GM12878|chr1:207592200-207592223
GM12878|chr12:102232400-102232504	GM12878|chr12:102232600-102232800
GM12878|chr12:102879400-102879420	GM12878|chr12:102879513-102879600
GM12878|chr1:211688490-211688600	GM12878|chr1:211688600-211688639
GM12878|chr1:211690152-211690280	GM12878|chr1:211690656-211690793
GM12878|chr1:211868066-211868180	GM12878|chr1:211868325-211868400
GM12878|chr1:211871086-211871280	GM12878|chr1:211871472-211871843
GM12878|chr1:211872166-211872400	GM12878|chr1:211872400-211872716
GM12878|chr12:121988671-121988901	GM12878|chr12:121989007-121989223
GM12878|chr12:121989007-121989223	GM12878|chr12:121989359-121989451
GM12878|chr12:121989007-121989223	GM12878|chr12:121989559-121989600
GM12878|chr12:121989007-121989223	GM12878|chr12:121989600-121989651
GM12878|chr12:121989359-121989451	GM12878|chr12:121989559-121989600
GM12878|chr12:121989359-121989451	GM12878|chr12:121989600-121989651
GM12878|chr12:121989359-121989451	GM12878|chr12:121989751-121990000
GM12878|chr12:121989559-121989600	GM12878|chr12:121989600-121989651
GM12878|chr12:121989559-121989600	GM12878|chr12:121989751-121990000
GM12878|chr12:121989600-121989651	GM12878|chr12:121989751-121990000
GM12878|chr12:121989751-121990000	GM12878|chr12:121990000-121990347
GM12878|chr12:123722600-123722732	GM12878|chr12:123722940-123723000
GM12878|chr1:2136000-2136110	GM12878|chr1:2136292-2136384
GM12878|chr1:2136292-2136384	GM12878|chr1:2136642-2136736
GM12878|chr1:2136642-2136736	GM12878|chr1:2137092-2137200
GM12878|chr12:14397309-14397731	GM12878|chr12:14397831-14397998
GM12878|chr12:14537200-14537659	GM12878|chr12:14537759-14537800
GM12878|chr12:14772282-14772382	GM12878|chr12:14772588-14772800
GM12878|chr12:14772282-14772382	GM12878|chr12:14772800-14772929
GM12878|chr12:14772588-14772800	GM12878|chr12:14772800-14772929
GM12878|chr1:224303800-224303884	GM12878|chr1:224304151-224304400
GM12878|chr1:226299566-226299949	GM12878|chr1:226300041-226300517
GM12878|chr1:227011571-227011600	GM12878|chr1:227011600-227011980
GM12878|chr1:227013966-227014000	GM12878|chr1:227014000-227014071
GM12878|chr12:27459573-27459600	GM12878|chr12:27459600-27459898
GM12878|chr1:231350741-231351000	GM12878|chr1:231351000-231351330
GM12878|chr1:231351000-231351330	GM12878|chr1:231351436-231351600
GM12878|chr1:231351000-231351330	GM12878|chr1:231351600-231351862
GM12878|chr1:231351436-231351600	GM12878|chr1:231351600-231351862
GM12878|chr1:234634061-234634179	GM12878|chr1:234634271-234634400
GM12878|chr1:234634271-234634400	GM12878|chr1:234634400-234634851
GM12878|chr1:234637359-234637400	GM12878|chr1:234637400-234637451
GM12878|chr1:234903725-234904000	GM12878|chr1:234904000-234904142
GM12878|chr1:234904273-234904800	GM12878|chr1:234904800-234905370
GM12878|chr1:234975485-234975739	GM12878|chr1:234976012-234976227
GM12878|chr1:234976602-234976940	GM12878|chr1:234977032-234977400
GM12878|chr1:24136556-24136600	GM12878|chr1:24136600-24136932
GM12878|chr1:242020483-242020582	GM12878|chr1:242020723-242020800
GM12878|chr12:4215922-4216200	GM12878|chr12:4216200-4216568
GM12878|chr12:4221430-4221651	GM12878|chr12:4221751-4221800
GM12878|chr12:46786348-46786501	GM12878|chr12:46786742-46786934
GM12878|chr12:47054728-47054800	GM12878|chr12:47054800-47055000
GM12878|chr12:47054728-47054800	GM12878|chr12:47055000-47055186
GM12878|chr12:47054800-47055000	GM12878|chr12:47055000-47055186
GM12878|chr12:47055000-47055186	GM12878|chr12:47055495-47055657
GM12878|chr12:49390416-49390516	GM12878|chr12:49390962-49391061
GM12878|chr12:49390962-49391061	GM12878|chr12:49391400-49391601
GM12878|chr12:57458600-57458665	GM12878|chr12:57458871-57459168
GM12878|chr12:6534176-6534302	GM12878|chr12:6534737-6534800
GM12878|chr12:6540984-6541076	GM12878|chr12:6541176-6541284
GM12878|chr12:6772800-6773000	GM12878|chr12:6773000-6773080
GM12878|chr12:679400-679600	GM12878|chr12:679600-679651
GM12878|chr12:685583-686000	GM12878|chr12:686000-686069
GM12878|chr1:26944787-26944800	GM12878|chr1:26944800-26945446
GM12878|chr12:75723600-75723810	GM12878|chr12:75724207-75724377
GM12878|chr12:75873000-75873029	GM12878|chr12:75873470-75873600
GM12878|chr12:76474600-76474676	GM12878|chr12:76474768-76475000
GM12878|chr12:8147569-8147600	GM12878|chr12:8147600-8147845
GM12878|chr12:8147600-8147845	GM12878|chr12:8148196-8148439
GM12878|chr1:28567000-28567128	GM12878|chr1:28567285-28567377
GM12878|chr1:28567285-28567377	GM12878|chr1:28567520-28567779
GM12878|chr1:28569087-28569195	GM12878|chr1:28569287-28569400
GM12878|chr1:28569087-28569195	GM12878|chr1:28569400-28569547
GM12878|chr1:28569287-28569400	GM12878|chr1:28569400-28569547
GM12878|chr12:89861899-89862179	GM12878|chr12:89862363-89862600
GM12878|chr1:29208408-29208552	GM12878|chr1:29208954-29209107
GM12878|chr1:29210200-29210400	GM12878|chr1:29210400-29210675
GM12878|chr12:92956955-92957323	GM12878|chr12:92957536-92957847
GM12878|chr12:92957536-92957847	GM12878|chr12:92958097-92958400
GM12878|chr12:92964478-92964600	GM12878|chr12:92964600-92964758
GM12878|chr12:95269400-95269423	GM12878|chr12:95269726-95269873
GM12878|chr12:9804600-9804701	GM12878|chr12:9804815-9805060
GM12878|chr13:111359600-111359895	GM12878|chr13:111359987-111360305
GM12878|chr13:113458200-113458431	GM12878|chr13:113458743-113458988
GM12878|chr1:31241600-31242200	GM12878|chr1:31242200-31242333
GM12878|chr1:32406493-32406600	GM12878|chr1:32406600-32406800
GM12878|chr1:32406493-32406600	GM12878|chr1:32406800-32406876
GM12878|chr1:32406600-32406800	GM12878|chr1:32406800-32406876
GM12878|chr1:32412007-32412137	GM12878|chr1:32412305-32412400
GM12878|chr1:32412007-32412137	GM12878|chr1:32412400-32412520
GM12878|chr1:32412305-32412400	GM12878|chr1:32412400-32412520
GM12878|chr13:27737368-27737534	GM12878|chr13:27737700-27737792
GM12878|chr13:27737368-27737534	GM12878|chr13:27737930-27738153
GM12878|chr13:27737700-27737792	GM12878|chr13:27737930-27738153
GM12878|chr13:27737930-27738153	GM12878|chr13:27738421-27738690
GM12878|chr13:27738421-27738690	GM12878|chr13:27738789-27738800
GM12878|chr13:27748762-27749000	GM12878|chr13:27749000-27749200
GM12878|chr13:27751800-27752060	GM12878|chr13:27752318-27752412
GM12878|chr13:50028126-50028400	GM12878|chr13:50028400-50028800
GM12878|chr13:50028400-50028800	GM12878|chr13:50028800-50029200
GM12878|chr13:50028800-50029200	GM12878|chr13:50029200-50029848
GM12878|chr13:50569006-50569103	GM12878|chr13:50569387-50569600
GM12878|chr13:50647583-50647698	GM12878|chr13:50647790-50647944
GM12878|chr1:36607719-36607800	GM12878|chr1:36607800-36607818
GM12878|chr1:36607719-36607800	GM12878|chr1:36608011-36608330
GM12878|chr1:36607800-36607818	GM12878|chr1:36608011-36608330
GM12878|chr14:106148000-106148055	GM12878|chr14:106148148-106148498
GM12878|chr14:106152098-106152200	GM12878|chr14:106152600-106152747
GM12878|chr14:21076818-21077191	GM12878|chr14:21077283-21077489
GM12878|chr14:24767111-24767200	GM12878|chr14:24767200-24767215
GM12878|chr14:32674935-32675375	GM12878|chr14:32675472-32675993
GM12878|chr14:35753410-35753800	GM12878|chr14:35753800-35754200
GM12878|chr14:39579600-39579800	GM12878|chr14:39579800-39579838
GM12878|chr14:50331800-50332142	GM12878|chr14:50332420-50332565
GM12878|chr14:50337400-50337536	GM12878|chr14:50337834-50337942
GM12878|chr14:50989458-50989600	GM12878|chr14:50990055-50990200
GM12878|chr14:51000076-51000168	GM12878|chr14:51000268-51000389
GM12878|chr1:45830589-45830600	GM12878|chr1:45830600-45831000
GM12878|chr1:45830589-45830600	GM12878|chr1:45831000-45831092
GM12878|chr1:45830600-45831000	GM12878|chr1:45831000-45831092
GM12878|chr1:45964024-45964124	GM12878|chr1:45964375-45964400
GM12878|chr14:68133292-68133800	GM12878|chr14:68133800-68133920
GM12878|chr14:68135268-68135600	GM12878|chr14:68135600-68135664
GM12878|chr14:68714628-68714916	GM12878|chr14:68715008-68715160
GM12878|chr14:68716343-68716536	GM12878|chr14:68716628-68717186
GM12878|chr14:77329630-77330200	GM12878|chr14:77330200-77330400
GM12878|chr14:77330200-77330400	GM12878|chr14:77330759-77331000
GM12878|chr14:77505367-77505400	GM12878|chr14:77505400-77505522
GM12878|chr14:77505367-77505400	GM12878|chr14:77505678-77506000
GM12878|chr14:77505400-77505522	GM12878|chr14:77505678-77506000
GM12878|chr14:89507079-89507317	GM12878|chr14:89507416-89507600
GM12878|chr15:101547533-101547680	GM12878|chr15:101547925-101548000
GM12878|chr15:101547925-101548000	GM12878|chr15:101548000-101548400
GM12878|chr15:102182126-102182218	GM12878|chr15:102182328-102182434
GM12878|chr15:40360359-40360800	GM12878|chr15:40360800-40360849
GM12878|chr15:43207091-43207600	GM12878|chr15:43207600-43208000
GM12878|chr15:43207600-43208000	GM12878|chr15:43208000-43208183
GM12878|chr15:43208000-43208183	GM12878|chr15:43208560-43208735
GM12878|chr15:48650631-48651200	GM12878|chr15:48651200-48651461
GM12878|chr15:51174415-51174800	GM12878|chr15:51174800-51174806
GM12878|chr15:51178398-51178600	GM12878|chr15:51178600-51178742
GM12878|chr15:68153545-68153600	GM12878|chr15:68153600-68153638
GM12878|chr15:68153545-68153600	GM12878|chr15:68153845-68153938
GM12878|chr15:68153600-68153638	GM12878|chr15:68153845-68153938
GM12878|chr15:74667365-74667505	GM12878|chr15:74667927-74668000
GM12878|chr15:74671107-74671240	GM12878|chr15:74671610-74671834
GM12878|chr15:74682778-74682800	GM12878|chr15:74682800-74683031
GM12878|chr15:85950331-85950498	GM12878|chr15:85950590-85950600
GM12878|chr15:91240323-91240800	GM12878|chr15:91240800-91240820
GM12878|chr16:10400251-10400400	GM12878|chr16:10400400-10401049
GM12878|chr16:11390477-11390577	GM12878|chr16:11390669-11391200
GM12878|chr16:11395588-11395600	GM12878|chr16:11395600-11395789
GM12878|chr16:11395588-11395600	GM12878|chr16:11396034-11396135
GM12878|chr16:11395600-11395789	GM12878|chr16:11396034-11396135
GM12878|chr16:14381000-14381093	GM12878|chr16:14381529-14381701
GM12878|chr16:30855800-30856012	GM12878|chr16:30856329-30856600
GM12878|chr16:30856329-30856600	GM12878|chr16:30856600-30856778
GM12878|chr16:31212200-31212279	GM12878|chr16:31212413-31212800
GM12878|chr16:31215000-31215037	GM12878|chr16:31215129-31215231
GM12878|chr16:31215129-31215231	GM12878|chr16:31215431-31215840
GM12878|chr16:31222587-31222679	GM12878|chr16:31222922-31223000
GM12878|chr16:31466800-31467048	GM12878|chr16:31467297-31467400
GM12878|chr16:31880223-31880600	GM12878|chr16:31880600-31880637
GM12878|chr16:31880223-31880600	GM12878|chr16:31880806-31880898
GM12878|chr16:31880600-31880637	GM12878|chr16:31880806-31880898
GM12878|chr16:31880806-31880898	GM12878|chr16:31881000-31881534
GM12878|chr16:50699005-50699310	GM12878|chr16:50699629-50699824
GM12878|chr16:53131333-53131609	GM12878|chr16:53131786-53131800
GM12878|chr16:53254788-53255000	GM12878|chr16:53255000-53255084
GM12878|chr16:53491352-53491709	GM12878|chr16:53491939-53492097
GM12878|chr16:53491939-53492097	GM12878|chr16:53492251-53492464
GM12878|chr16:67549479-67549897	GM12878|chr16:67550106-67550206
GM12878|chr16:67586848-67587200	GM12878|chr16:67587200-67587374
GM12878|chr16:764630-764870	GM12878|chr16:765038-765138
GM12878|chr16:764630-764870	GM12878|chr16:765230-765330
GM12878|chr16:765038-765138	GM12878|chr16:765230-765330
GM12878|chr16:765038-765138	GM12878|chr16:765550-765728
GM12878|chr16:765230-765330	GM12878|chr16:765550-765728
GM12878|chr1:68224864-68225000	GM12878|chr1:68225000-68225258
GM12878|chr1:68232109-68232200	GM12878|chr1:68232200-68232392
GM12878|chr16:84119372-84119600	GM12878|chr16:84119600-84119800
GM12878|chr16:84122200-84122419	GM12878|chr16:84122588-84123000
GM12878|chr16:84552740-84552860	GM12878|chr16:84552974-84553000
GM12878|chr16:85857854-85858055	GM12878|chr16:85858164-85858495
GM12878|chr16:87422400-87422610	GM12878|chr16:87422916-87423000
GM12878|chr16:87810509-87810600	GM12878|chr16:87810600-87810946
GM12878|chr16:9227063-9227438	GM12878|chr16:9227629-9227723
GM12878|chr1:70824600-70824881	GM12878|chr1:70825043-70825213
GM12878|chr1:70881600-70881800	GM12878|chr1:70881800-70881899
GM12878|chr17:1617616-1618000	GM12878|chr17:1618000-1618403
GM12878|chr17:1624614-1624800	GM12878|chr17:1624800-1625111
GM12878|chr17:17936320-17936600	GM12878|chr17:17936600-17936836
GM12878|chr17:17936600-17936836	GM12878|chr17:17937152-17937455
GM12878|chr17:29036975-29037097	GM12878|chr17:29037395-29037600
GM12878|chr17:38752290-38752400	GM12878|chr17:38752400-38752800
GM12878|chr17:38752290-38752400	GM12878|chr17:38752801-38752893
GM12878|chr17:38752400-38752800	GM12878|chr17:38752801-38752893
GM12878|chr17:38752801-38752893	GM12878|chr17:38753052-38753309
GM12878|chr17:38753052-38753309	GM12878|chr17:38753512-38753600
GM12878|chr17:40176738-40176972	GM12878|chr17:40177262-40177400
GM12878|chr17:40215800-40216400	GM12878|chr17:40216435-40216700
GM12878|chr17:4281383-4281600	GM12878|chr17:4281600-4281778
GM12878|chr17:4308403-4308591	GM12878|chr17:4308687-4308985
GM12878|chr17:43457800-43458400	GM12878|chr17:43458400-43458525
GM12878|chr17:43462515-43462600	GM12878|chr17:43462600-43462916
GM12878|chr17:47647774-47648001	GM12878|chr17:47648141-47648323
GM12878|chr17:49031092-49031200	GM12878|chr17:49031200-49031800
GM12878|chr17:49031200-49031800	GM12878|chr17:49031824-49032159
GM12878|chr17:5100613-5100746	GM12878|chr17:5100903-5101224
GM12878|chr17:5142000-5142117	GM12878|chr17:5142217-5142309
GM12878|chr1:76194293-76194432	GM12878|chr1:76194532-76194624
GM12878|chr17:70022929-70023021	GM12878|chr17:70023133-70023519
GM12878|chr17:70023133-70023519	GM12878|chr17:70023616-70023800
GM12878|chr17:70023616-70023800	GM12878|chr17:70023800-70023871
GM12878|chr17:70024571-70024600	GM12878|chr17:70024600-70024800
GM12878|chr17:70115851-70116287	GM12878|chr17:70116444-70116658
GM12878|chr17:70506972-70507115	GM12878|chr17:70507207-70507319
GM12878|chr17:72739047-72739200	GM12878|chr17:72739200-72739383
GM12878|chr17:72780078-72780400	GM12878|chr17:72780400-72780892
GM12878|chr17:72870800-72870823	GM12878|chr17:72870997-72871210
GM12878|chr17:72870997-72871210	GM12878|chr17:72871607-72871725
GM12878|chr17:73776200-73776540	GM12878|chr17:73776716-73776800
GM12878|chr18:10560794-10561000	GM12878|chr18:10561000-10561020
GM12878|chr18:10850350-10850400	GM12878|chr18:10850400-10850555
GM12878|chr18:10851188-10851394	GM12878|chr18:10851509-10851792
GM12878|chr18:32925200-32925800	GM12878|chr18:32925850-32925965
GM12878|chr18:43245900-43246000	GM12878|chr18:43246000-43246410
GM12878|chr18:43246553-43247200	GM12878|chr18:43247200-43247643
GM12878|chr18:60816702-60817008	GM12878|chr18:60817236-60817600
GM12878|chr18:66389800-66389807	GM12878|chr18:66389948-66390148
GM12878|chr18:66389948-66390148	GM12878|chr18:66390349-66390449
GM12878|chr18:77722377-77722600	GM12878|chr18:77722600-77722800
GM12878|chr18:9073455-9073629	GM12878|chr18:9073880-9074209
GM12878|chr18:9673802-9674000	GM12878|chr18:9674000-9674127
GM12878|chr19:10037952-10038179	GM12878|chr19:10038427-10038683
GM12878|chr19:10342600-10343200	GM12878|chr19:10343200-10343519
GM12878|chr19:10352569-10352767	GM12878|chr19:10352867-10352966
GM12878|chr19:10497389-10497669	GM12878|chr19:10497864-10498001
GM12878|chr19:10974917-10975009	GM12878|chr19:10975450-10975600
GM12878|chr19:10977840-10978085	GM12878|chr19:10978274-10978600
GM12878|chr19:10979800-10979927	GM12878|chr19:10980119-10980256
GM12878|chr19:12880307-12880600	GM12878|chr19:12880859-12881000
GM12878|chr19:13973407-13973800	GM12878|chr19:13973800-13973873
GM12878|chr19:19633600-19633735	GM12878|chr19:19633853-19634141
GM12878|chr19:19633853-19634141	GM12878|chr19:19634373-19634600
GM12878|chr19:2557782-2558053	GM12878|chr19:2558145-2558411
GM12878|chr19:2612173-2612279	GM12878|chr19:2612440-2612546
GM12878|chr19:36420504-36420600	GM12878|chr19:36420600-36421253
GM12878|chr19:36421768-36421800	GM12878|chr19:36421800-36422000
GM12878|chr19:39042200-39042600	GM12878|chr19:39042600-39042649
GM12878|chr19:39930827-39930919	GM12878|chr19:39931425-39931519
GM12878|chr19:41157606-41157800	GM12878|chr19:41157800-41158200
GM12878|chr19:41157800-41158200	GM12878|chr19:41158200-41158491
GM12878|chr19:41702000-41702400	GM12878|chr19:41702400-41702600
GM12878|chr19:41702000-41702400	GM12878|chr19:41702600-41702649
GM12878|chr19:41702400-41702600	GM12878|chr19:41702600-41702649
GM12878|chr19:43954855-43954979	GM12878|chr19:43955079-43955171
GM12878|chr19:44249176-44249495	GM12878|chr19:44249783-44249887
GM12878|chr19:45753737-45753800	GM12878|chr19:45753800-45754000
GM12878|chr19:45928400-45928631	GM12878|chr19:45928847-45929089
GM12878|chr19:45943800-45944107	GM12878|chr19:45944219-45944400
GM12878|chr19:45943800-45944107	GM12878|chr19:45944400-45944593
GM12878|chr19:45944219-45944400	GM12878|chr19:45944400-45944593
GM12878|chr19:45945948-45946000	GM12878|chr19:45946000-45946400
GM12878|chr19:49148008-49148436	GM12878|chr19:49148540-49148968
GM12878|chr19:49150200-49150600	GM12878|chr19:49150600-49150744
GM12878|chr19:49150200-49150600	GM12878|chr19:49150836-49151067
GM12878|chr19:49150600-49150744	GM12878|chr19:49150836-49151067
GM12878|chr19:6520600-6520713	GM12878|chr19:6521024-6521239
GM12878|chr19:6521024-6521239	GM12878|chr19:6521496-6521800
GM12878|chr19:6866667-6866800	GM12878|chr19:6866800-6866852
GM12878|chr19:6866667-6866800	GM12878|chr19:6866974-6867000
GM12878|chr19:6866667-6866800	GM12878|chr19:6867000-6867147
GM12878|chr19:6866800-6866852	GM12878|chr19:6866974-6867000
GM12878|chr19:6866800-6866852	GM12878|chr19:6867000-6867147
GM12878|chr19:6866974-6867000	GM12878|chr19:6867000-6867147
GM12878|chr19:979343-979400	GM12878|chr19:979400-979800
GM12878|chr19:979343-979400	GM12878|chr19:979800-979805
GM12878|chr19:979400-979800	GM12878|chr19:979800-979805
GM12878|chr19:9902699-9902964	GM12878|chr19:9903087-9903280
GM12878|chr19:9903087-9903280	GM12878|chr19:9903387-9903479
GM12878|chr19:9903387-9903479	GM12878|chr19:9903725-9904000
GM12878|chr20:11199621-11200000	GM12878|chr20:11200000-11200013
GM12878|chr20:11247768-11247930	GM12878|chr20:11248253-11248400
GM12878|chr20:11248253-11248400	GM12878|chr20:11248400-11248440
GM12878|chr20:11248253-11248400	GM12878|chr20:11248561-11248769
GM12878|chr20:11248400-11248440	GM12878|chr20:11248561-11248769
GM12878|chr20:30249149-30249200	GM12878|chr20:30249200-30249388
GM12878|chr20:36013000-36013131	GM12878|chr20:36013405-36013540
GM12878|chr20:37274151-37274280	GM12878|chr20:37274524-37274787
GM12878|chr20:37274524-37274787	GM12878|chr20:37275115-37275400
GM12878|chr20:43238400-43238669	GM12878|chr20:43238964-43239200
GM12878|chr20:43238964-43239200	GM12878|chr20:43239200-43239560
GM12878|chr20:45178935-45179400	GM12878|chr20:45179400-45179780
GM12878|chr20:56054929-56055000	GM12878|chr20:56055000-56055081
GM12878|chr20:56054929-56055000	GM12878|chr20:56055309-56055600
GM12878|chr20:56055000-56055081	GM12878|chr20:56055309-56055600
GM12878|chr20:56881265-56881400	GM12878|chr20:56881400-56882000
GM12878|chr20:57224600-57224647	GM12878|chr20:57224774-57224929
GM12878|chr20:61610000-61610200	GM12878|chr20:61610200-61610301
GM12878|chr20:62583000-62583137	GM12878|chr20:62583263-62583400
GM12878|chr2:10258126-10258200	GM12878|chr2:10258200-10258367
GM12878|chr2:106804800-106805000	GM12878|chr2:106805000-106805150
GM12878|chr21:19147655-19147800	GM12878|chr21:19147800-19148400
GM12878|chr21:19160801-19161287	GM12878|chr21:19161395-19161400
GM12878|chr2:11968856-11969200	GM12878|chr2:11969200-11969404
GM12878|chr2:11970800-11971047	GM12878|chr2:11971259-11971379
GM12878|chr21:26548634-26549200	GM12878|chr21:26549200-26549679
GM12878|chr21:26560427-26560636	GM12878|chr21:26560821-26561200
GM12878|chr21:26560821-26561200	GM12878|chr21:26561306-26561446
GM12878|chr21:26874974-26875434	GM12878|chr21:26875606-26875988
GM12878|chr21:26875606-26875988	GM12878|chr21:26876222-26876314
GM12878|chr21:26876222-26876314	GM12878|chr21:26876762-26876873
GM12878|chr21:26876762-26876873	GM12878|chr21:26877111-26877226
GM12878|chr21:26879245-26879622	GM12878|chr21:26879714-26879974
GM12878|chr2:134963166-134963600	GM12878|chr2:134963600-134964200
GM12878|chr2:134966392-134966400	GM12878|chr2:134966400-134966600
GM12878|chr21:40757600-40757797	GM12878|chr21:40758070-40758200
GM12878|chr21:44828893-44828985	GM12878|chr21:44829115-44829200
GM12878|chr21:44831565-44831695	GM12878|chr21:44832003-44832095
GM12878|chr21:45566800-45567077	GM12878|chr21:45567339-45567629
GM12878|chr21:45567339-45567629	GM12878|chr21:45567763-45567855
GM12878|chr2:157255540-157255800	GM12878|chr2:157255800-157256000
GM12878|chr2:181969560-181969600	GM12878|chr2:181969600-181969882
GM12878|chr2:181969600-181969882	GM12878|chr2:181970165-181970402
GM12878|chr2:181973010-181973200	GM12878|chr2:181973200-181973283
GM12878|chr2:198056017-198056200	GM12878|chr2:198056200-198056224
GM12878|chr2:202087839-202088096	GM12878|chr2:202088416-202088600
