K562|chr10:104800177-104801105	K562|chr10:104801197-104801569
K562|chr1:155063655-155063977	K562|chr1:155064766-155064858
K562|chr1:155064230-155064400	K562|chr1:155064400-155064456
K562|chr1:155064230-155064400	K562|chr1:155064766-155064858
K562|chr1:155064400-155064456	K562|chr1:155064766-155064858
K562|chr1:156859795-156859948	K562|chr1:156861808-156862400
K562|chr1:156859795-156859948	K562|chr1:156862400-156862562
K562|chr1:156861808-156862400	K562|chr1:156862400-156862562
K562|chr11:57411378-57411470	K562|chr11:57412198-57412290
K562|chr1:161352473-161352600	K562|chr1:161356005-161356485
K562|chr1:161461284-161461551	K562|chr1:161464121-161464461
K562|chr1:161469481-161469854	K562|chr1:161470457-161470736
K562|chr1:161469481-161469854	K562|chr1:161470833-161470957
K562|chr1:161469481-161469854	K562|chr1:161471180-161471509
K562|chr1:161469481-161469854	K562|chr1:161471948-161472665
K562|chr1:161469481-161469854	K562|chr1:161472769-161473831
K562|chr1:161470457-161470736	K562|chr1:161470833-161470957
K562|chr1:161470457-161470736	K562|chr1:161471180-161471509
K562|chr1:161470457-161470736	K562|chr1:161471948-161472665
K562|chr1:161470457-161470736	K562|chr1:161472769-161473831
K562|chr1:161470833-161470957	K562|chr1:161471180-161471509
K562|chr1:161470833-161470957	K562|chr1:161471948-161472665
K562|chr1:161470833-161470957	K562|chr1:161472769-161473831
K562|chr1:161471180-161471509	K562|chr1:161471948-161472665
K562|chr1:161471180-161471509	K562|chr1:161472769-161473831
K562|chr1:161471948-161472665	K562|chr1:161472769-161473831
K562|chr1:161606043-161606833	K562|chr1:161608147-161608200
K562|chr1:161606043-161606833	K562|chr1:161608200-161608600
K562|chr1:161606043-161606833	K562|chr1:161608600-161608682
K562|chr1:161606043-161606833	K562|chr1:161609109-161609291
K562|chr1:161606043-161606833	K562|chr1:161609611-161609800
K562|chr1:161608147-161608200	K562|chr1:161608200-161608600
K562|chr1:161608147-161608200	K562|chr1:161608600-161608682
K562|chr1:161608147-161608200	K562|chr1:161609109-161609291
K562|chr1:161608147-161608200	K562|chr1:161609611-161609800
K562|chr1:161608200-161608600	K562|chr1:161608600-161608682
K562|chr1:161608200-161608600	K562|chr1:161609109-161609291
K562|chr1:161608200-161608600	K562|chr1:161609611-161609800
K562|chr1:161608600-161608682	K562|chr1:161609109-161609291
K562|chr1:161608600-161608682	K562|chr1:161609611-161609800
K562|chr1:161609109-161609291	K562|chr1:161609611-161609800
K562|chr1:161609109-161609291	K562|chr1:161612525-161612680
K562|chr1:161609611-161609800	K562|chr1:161612525-161612680
K562|chr1:161616721-161616813	K562|chr1:161617271-161617872
K562|chr1:161617271-161617872	K562|chr1:161620868-161621000
K562|chr1:161620868-161621000	K562|chr1:161623800-161624138
K562|chr1:161700044-161700354	K562|chr1:161701182-161701200
K562|chr1:161700044-161700354	K562|chr1:161701200-161701454
K562|chr1:161701182-161701200	K562|chr1:161701200-161701454
K562|chr1:161708409-161708597	K562|chr1:161708848-161709034
K562|chr1:161708409-161708597	K562|chr1:161709811-161710052
K562|chr1:161708409-161708597	K562|chr1:161711210-161711305
K562|chr1:161708848-161709034	K562|chr1:161709811-161710052
K562|chr1:161708848-161709034	K562|chr1:161711210-161711305
K562|chr1:161709811-161710052	K562|chr1:161711210-161711305
K562|chr1:161711210-161711305	K562|chr1:161713879-161714176
K562|chr1:161711210-161711305	K562|chr1:161714637-161714732
K562|chr1:161713879-161714176	K562|chr1:161714637-161714732
K562|chr11:61715022-61715124	K562|chr11:61716605-61718583
K562|chr11:61721572-61721677	K562|chr11:61721857-61721949
K562|chr11:61721572-61721677	K562|chr11:61722547-61722639
K562|chr11:61721857-61721949	K562|chr11:61722547-61722639
K562|chr11:63920429-63920544	K562|chr11:63921437-63921600
K562|chr1:16399567-16400081	K562|chr1:16400449-16400658
K562|chr1:16399567-16400081	K562|chr1:16402357-16402800
K562|chr1:16399567-16400081	K562|chr1:16402800-16402922
K562|chr1:16400449-16400658	K562|chr1:16402357-16402800
K562|chr1:16400449-16400658	K562|chr1:16402800-16402922
K562|chr1:16402357-16402800	K562|chr1:16402800-16402922
K562|chr1:16402357-16402800	K562|chr1:16405688-16405850
K562|chr1:16402800-16402922	K562|chr1:16405688-16405850
K562|chr1:16405688-16405850	K562|chr1:16407110-16407439
K562|chr11:64067971-64068000	K562|chr11:64069000-64069200
K562|chr11:64067971-64068000	K562|chr11:64069200-64069234
K562|chr11:64067971-64068000	K562|chr11:64070664-64070887
K562|chr11:64069000-64069200	K562|chr11:64069200-64069234
K562|chr11:64069000-64069200	K562|chr11:64070664-64070887
K562|chr11:64069200-64069234	K562|chr11:64070664-64070887
K562|chr11:64609971-64610200	K562|chr11:64613000-64613186
K562|chr11:64613000-64613186	K562|chr11:64614853-64615090
K562|chr11:64613000-64613186	K562|chr11:64615943-64616000
K562|chr11:64613000-64613186	K562|chr11:64616000-64616335
K562|chr11:64614853-64615090	K562|chr11:64615943-64616000
K562|chr11:64614853-64615090	K562|chr11:64616000-64616335
K562|chr11:64615943-64616000	K562|chr11:64616000-64616335
K562|chr11:64616000-64616335	K562|chr11:64619535-64619953
K562|chr11:64619535-64619953	K562|chr11:64622200-64623000
K562|chr11:64757185-64757200	K562|chr11:64758000-64758248
K562|chr11:64765604-64766888	K562|chr11:64768647-64768952
K562|chr11:65235290-65235574	K562|chr11:65237886-65238400
K562|chr11:65237886-65238400	K562|chr11:65240200-65241276
K562|chr11:65237886-65238400	K562|chr11:65241705-65242031
K562|chr11:65240200-65241276	K562|chr11:65241705-65242031
K562|chr11:65240200-65241276	K562|chr11:65242127-65242363
K562|chr11:65240200-65241276	K562|chr11:65242469-65242800
K562|chr11:65241705-65242031	K562|chr11:65242127-65242363
K562|chr11:65241705-65242031	K562|chr11:65242469-65242800
K562|chr11:65242127-65242363	K562|chr11:65242469-65242800
K562|chr11:65474007-65474155	K562|chr11:65477125-65477550
K562|chr11:65477125-65477550	K562|chr11:65477787-65477800
K562|chr11:65477125-65477550	K562|chr11:65477800-65478400
K562|chr11:65477787-65477800	K562|chr11:65477800-65478400
K562|chr11:66175214-66175536	K562|chr11:66176408-66176572
K562|chr11:69257289-69257600	K562|chr11:69260200-69260425
K562|chr11:69260200-69260425	K562|chr11:69262922-69263600
K562|chr11:69262922-69263600	K562|chr11:69264800-69265244
K562|chr11:69262922-69263600	K562|chr11:69265346-69265487
K562|chr11:69264800-69265244	K562|chr11:69265346-69265487
K562|chr1:171712400-171713178	K562|chr1:171713311-171713486
K562|chr1:171746625-171746920	K562|chr1:171749170-171749262
K562|chr1:171746625-171746920	K562|chr1:171749392-171749800
K562|chr1:171749170-171749262	K562|chr1:171749392-171749800
K562|chr1:172686885-172687094	K562|chr1:172688010-172688563
K562|chr1:17287057-17287177	K562|chr1:17287467-17287726
K562|chr1:17287057-17287177	K562|chr1:17288298-17288518
K562|chr1:17287467-17287726	K562|chr1:17288298-17288518
K562|chr1:174735514-174735676	K562|chr1:174735877-174736222
K562|chr1:181110078-181110201	K562|chr1:181110472-181111800
K562|chr1:182050721-182050929	K562|chr1:182053852-182054046
K562|chr1:182268400-182271352	K562|chr1:182271569-182271661
K562|chr1:1828268-1828393	K562|chr1:1828624-1828940
K562|chr1:1828268-1828393	K562|chr1:1829092-1829184
K562|chr1:1828624-1828940	K562|chr1:1829092-1829184
K562|chr1:1837564-1837832	K562|chr1:1838022-1838114
K562|chr1:1838022-1838114	K562|chr1:1841600-1841626
K562|chr1:193080669-193081833	K562|chr1:193084600-193085388
K562|chr1:193084600-193085388	K562|chr1:193086790-193087132
K562|chr1:193084600-193085388	K562|chr1:193087334-193087800
K562|chr1:193084600-193085388	K562|chr1:193088600-193089130
K562|chr1:193086790-193087132	K562|chr1:193087334-193087800
K562|chr1:193086790-193087132	K562|chr1:193088600-193089130
K562|chr1:193086790-193087132	K562|chr1:193089290-193089800
K562|chr1:193087334-193087800	K562|chr1:193088600-193089130
K562|chr1:193087334-193087800	K562|chr1:193089290-193089800
K562|chr1:193088600-193089130	K562|chr1:193089290-193089800
K562|chr11:94873841-94874205	K562|chr11:94877511-94877820
K562|chr11:94877511-94877820	K562|chr11:94877948-94878350
K562|chr11:94877511-94877820	K562|chr11:94879821-94879924
K562|chr11:94877511-94877820	K562|chr11:94880245-94881264
K562|chr11:94877948-94878350	K562|chr11:94879821-94879924
K562|chr11:94877948-94878350	K562|chr11:94880245-94881264
K562|chr11:94877948-94878350	K562|chr11:94881447-94881619
K562|chr11:94879821-94879924	K562|chr11:94880245-94881264
K562|chr11:94879821-94879924	K562|chr11:94881447-94881619
K562|chr11:94879821-94879924	K562|chr11:94882104-94882576
K562|chr11:94880245-94881264	K562|chr11:94881447-94881619
K562|chr11:94880245-94881264	K562|chr11:94882104-94882576
K562|chr11:94881447-94881619	K562|chr11:94882104-94882576
K562|chr11:95801593-95801777	K562|chr11:95802055-95802237
K562|chr11:9632693-9632924	K562|chr11:9634325-9634400
K562|chr1:19977408-19977719	K562|chr1:19978847-19978988
K562|chr1:19977408-19977719	K562|chr1:19980105-19980197
K562|chr1:19978847-19978988	K562|chr1:19980105-19980197
K562|chr1:204330407-204330595	K562|chr1:204333200-204333271
K562|chr1:207082414-207082848	K562|chr1:207083122-207083369
K562|chr1:207095533-207095636	K562|chr1:207098200-207098263
K562|chr1:207095533-207095636	K562|chr1:207098744-207098850
K562|chr1:207098200-207098263	K562|chr1:207098744-207098850
K562|chr1:207098200-207098263	K562|chr1:207100489-207101055
K562|chr1:207098744-207098850	K562|chr1:207100489-207101055
K562|chr12:108957600-108957803	K562|chr12:108958444-108958800
K562|chr12:109013766-109013800	K562|chr12:109013800-109014106
K562|chr12:109013766-109013800	K562|chr12:109016324-109016466
K562|chr12:109013800-109014106	K562|chr12:109016324-109016466
K562|chr12:109025600-109026280	K562|chr12:109027800-109028400
K562|chr12:112849275-112849417	K562|chr12:112851529-112852581
K562|chr12:112849275-112849417	K562|chr12:112852723-112852935
K562|chr12:112851529-112852581	K562|chr12:112852723-112852935
K562|chr12:113628329-113629200	K562|chr12:113631659-113631800
K562|chr12:113628329-113629200	K562|chr12:113631800-113632200
K562|chr12:113628329-113629200	K562|chr12:113632200-113632320
K562|chr12:113631659-113631800	K562|chr12:113631800-113632200
K562|chr12:113631659-113631800	K562|chr12:113632200-113632320
K562|chr12:113631800-113632200	K562|chr12:113632200-113632320
K562|chr12:113642017-113642218	K562|chr12:113642530-113643000
K562|chr12:120663112-120664120	K562|chr12:120666009-120666400
K562|chr12:122097200-122098169	K562|chr12:122101241-122101600
K562|chr12:123762834-123763000	K562|chr12:123763000-123763168
K562|chr12:124055004-124055145	K562|chr12:124055850-124056272
K562|chr12:124064773-124065031	K562|chr12:124066599-124066699
K562|chr1:222628208-222628311	K562|chr1:222628583-222629247
K562|chr1:222639400-222639438	K562|chr1:222639568-222639600
K562|chr1:222639400-222639438	K562|chr1:222639600-222639749
K562|chr1:222639568-222639600	K562|chr1:222639600-222639749
K562|chr1:224520951-224521070	K562|chr1:224521249-224522467
K562|chr1:224644600-224645301	K562|chr1:224646771-224647011
K562|chr1:224644600-224645301	K562|chr1:224647747-224647929
K562|chr1:224646771-224647011	K562|chr1:224647747-224647929
K562|chr1:225660987-225661000	K562|chr1:225661000-225661138
K562|chr1:225660987-225661000	K562|chr1:225663008-225663158
K562|chr1:225661000-225661138	K562|chr1:225663008-225663158
K562|chr1:226149723-226149981	K562|chr1:226150400-226150594
K562|chr1:226155920-226156027	K562|chr1:226156696-226156913
K562|chr1:226155920-226156027	K562|chr1:226158308-226158600
K562|chr1:226155920-226156027	K562|chr1:226158600-226158630
K562|chr1:226156696-226156913	K562|chr1:226158308-226158600
K562|chr1:226156696-226156913	K562|chr1:226158600-226158630
K562|chr1:226158308-226158600	K562|chr1:226158600-226158630
K562|chr1:226158308-226158600	K562|chr1:226160557-226161189
K562|chr1:226158600-226158630	K562|chr1:226160557-226161189
K562|chr1:226160557-226161189	K562|chr1:226163599-226163691
K562|chr1:226188200-226188800	K562|chr1:226189495-226191833
K562|chr1:226189495-226191833	K562|chr1:226193531-226193931
K562|chr1:226193531-226193931	K562|chr1:226194946-226195119
K562|chr1:226193531-226193931	K562|chr1:226196681-226196830
K562|chr1:226193531-226193931	K562|chr1:226197096-226197707
K562|chr1:226194946-226195119	K562|chr1:226196681-226196830
K562|chr1:226194946-226195119	K562|chr1:226197096-226197707
K562|chr1:226196681-226196830	K562|chr1:226197096-226197707
K562|chr1:226304421-226304826	K562|chr1:226306582-226306692
K562|chr1:226306582-226306692	K562|chr1:226308697-226308800
K562|chr1:226308697-226308800	K562|chr1:226311294-226311503
K562|chr1:226311294-226311503	K562|chr1:226312702-226312896
K562|chr12:33048600-33049265	K562|chr12:33049759-33049859
K562|chr12:34371126-34371416	K562|chr12:34371665-34371936
K562|chr1:234857454-234857784	K562|chr1:234858120-234858349
K562|chr1:234857454-234857784	K562|chr1:234858881-234859000
K562|chr1:234858120-234858349	K562|chr1:234858881-234859000
K562|chr1:234858881-234859000	K562|chr1:234861800-234862423
K562|chr1:234861800-234862423	K562|chr1:234863044-234863663
K562|chr1:234861800-234862423	K562|chr1:234863941-234864312
K562|chr1:234861800-234862423	K562|chr1:234865510-234865600
K562|chr1:234863044-234863663	K562|chr1:234863941-234864312
K562|chr1:234863044-234863663	K562|chr1:234865510-234865600
K562|chr1:234863044-234863663	K562|chr1:234866074-234866400
K562|chr1:234863044-234863663	K562|chr1:234866400-234866600
K562|chr1:234863044-234863663	K562|chr1:234866735-234866872
K562|chr1:234863941-234864312	K562|chr1:234865510-234865600
K562|chr1:234863941-234864312	K562|chr1:234866074-234866400
K562|chr1:234863941-234864312	K562|chr1:234866400-234866600
K562|chr1:234863941-234864312	K562|chr1:234866735-234866872
K562|chr1:234865510-234865600	K562|chr1:234866074-234866400
K562|chr1:234865510-234865600	K562|chr1:234866400-234866600
K562|chr1:234865510-234865600	K562|chr1:234866735-234866872
K562|chr1:234866074-234866400	K562|chr1:234866400-234866600
K562|chr1:234866074-234866400	K562|chr1:234866735-234866872
K562|chr1:234866400-234866600	K562|chr1:234866735-234866872
K562|chr1:235006298-235007080	K562|chr1:235007173-235007930
K562|chr1:235006298-235007080	K562|chr1:235009559-235009690
K562|chr1:235007173-235007930	K562|chr1:235009559-235009690
K562|chr1:235007173-235007930	K562|chr1:235009928-235012400
K562|chr1:235009559-235009690	K562|chr1:235009928-235012400
K562|chr1:235009559-235009690	K562|chr1:235013000-235013295
K562|chr1:235009928-235012400	K562|chr1:235013000-235013295
K562|chr1:235009928-235012400	K562|chr1:235013654-235013802
K562|chr1:235009928-235012400	K562|chr1:235014989-235015000
K562|chr1:235009928-235012400	K562|chr1:235015000-235015620
K562|chr1:235013000-235013295	K562|chr1:235013654-235013802
K562|chr1:235013000-235013295	K562|chr1:235014989-235015000
K562|chr1:235013000-235013295	K562|chr1:235015000-235015620
K562|chr1:235013000-235013295	K562|chr1:235016402-235016502
K562|chr1:235013654-235013802	K562|chr1:235014989-235015000
K562|chr1:235013654-235013802	K562|chr1:235015000-235015620
K562|chr1:235013654-235013802	K562|chr1:235016402-235016502
K562|chr1:235014989-235015000	K562|chr1:235015000-235015620
K562|chr1:235014989-235015000	K562|chr1:235016402-235016502
K562|chr1:235014989-235015000	K562|chr1:235017785-235018000
K562|chr1:235014989-235015000	K562|chr1:235018000-235018006
K562|chr1:235015000-235015620	K562|chr1:235016402-235016502
K562|chr1:235015000-235015620	K562|chr1:235017785-235018000
K562|chr1:235015000-235015620	K562|chr1:235018000-235018006
K562|chr1:235016402-235016502	K562|chr1:235017785-235018000
K562|chr1:235016402-235016502	K562|chr1:235018000-235018006
K562|chr1:235017785-235018000	K562|chr1:235018000-235018006
K562|chr1:245126772-245127078	K562|chr1:245127756-245127860
K562|chr1:245126772-245127078	K562|chr1:245128652-245129034
K562|chr1:245127756-245127860	K562|chr1:245128652-245129034
K562|chr1:245128652-245129034	K562|chr1:245131632-245131770
K562|chr1:245128652-245129034	K562|chr1:245131862-245132390
K562|chr1:245131632-245131770	K562|chr1:245131862-245132390
K562|chr1:245131862-245132390	K562|chr1:245135600-245135944
K562|chr1:245316571-245317253	K562|chr1:245317653-245318514
K562|chr1:245316571-245317253	K562|chr1:245319392-245319789
K562|chr1:245316571-245317253	K562|chr1:245320078-245320220
K562|chr1:245317653-245318514	K562|chr1:245319392-245319789
K562|chr1:245317653-245318514	K562|chr1:245320078-245320220
K562|chr1:245319392-245319789	K562|chr1:245320078-245320220
K562|chr12:48569491-48569600	K562|chr12:48569800-48570449
K562|chr12:48576814-48577043	K562|chr12:48577281-48577615
K562|chr12:51722399-51722578	K562|chr12:51723062-51723495
K562|chr12:51722399-51722578	K562|chr12:51723624-51723768
K562|chr12:51723062-51723495	K562|chr12:51723624-51723768
K562|chr12:53299400-53299667	K562|chr12:53300724-53302330
K562|chr12:53717583-53717800	K562|chr12:53719400-53719421
K562|chr12:54760982-54761143	K562|chr12:54761378-54762400
K562|chr12:54760982-54761143	K562|chr12:54763921-54764000
K562|chr12:54761378-54762400	K562|chr12:54763921-54764000
K562|chr12:56319200-56319400	K562|chr12:56322800-56323178
K562|chr12:56322800-56323178	K562|chr12:56324270-56324800
K562|chr12:56853636-56853756	K562|chr12:56855093-56855237
K562|chr12:56855093-56855237	K562|chr12:56857997-56858374
K562|chr12:57147256-57147600	K562|chr12:57147600-57147851
K562|chr1:25736607-25737000	K562|chr1:25737000-25737049
K562|chr1:25736607-25737000	K562|chr1:25738544-25738797
K562|chr1:25736607-25737000	K562|chr1:25738915-25739238
K562|chr1:25736607-25737000	K562|chr1:25739454-25740200
K562|chr1:25737000-25737049	K562|chr1:25738544-25738797
K562|chr1:25737000-25737049	K562|chr1:25738915-25739238
K562|chr1:25737000-25737049	K562|chr1:25739454-25740200
K562|chr1:25738544-25738797	K562|chr1:25738915-25739238
K562|chr1:25738544-25738797	K562|chr1:25739454-25740200
K562|chr1:25738544-25738797	K562|chr1:25740600-25741697
